gene_id	protein_id	gene_symbol	product
gene-ACSAL1_RS04515	WP_209388027.1		Type 1 glutamine amidotransferase-like domain-containing protein
gene-ACSAL1_RS04520	WP_209388028.1	thiC	phosphomethylpyrimidine synthase ThiC
gene-ACSAL1_RS04525	WP_209388029.1		FAD-binding oxidoreductase
gene-ACSAL1_RS04530	WP_003155431.1		FbpB family small basic protein
gene-ACSAL1_RS04535	WP_209388030.1		ABC transporter substrate-binding protein
gene-ACSAL1_RS04540	WP_014417250.1		ABC transporter permease
gene-ACSAL1_RS04545	WP_014417251.1	opp4C	oligopeptide ABC transporter permease
gene-ACSAL1_RS04550	WP_021494881.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS04555	WP_021494882.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS04560	WP_209388031.1	katA	catalase KatA
gene-ACSAL1_RS04565	WP_209388032.1		amidohydrolase family protein
gene-ACSAL1_RS04570	WP_014417255.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS04575	WP_209388033.1		aliphatic sulfonate ABC transporter substrate-binding protein
gene-ACSAL1_RS04580	WP_014417257.1		ABC transporter permease
gene-ACSAL1_RS04585	WP_209388034.1	ssuD	FMNH2-dependent alkanesulfonate monooxygenase
gene-ACSAL1_RS04590	WP_209388035.1		sulfur oxidation protein
gene-ACSAL1_RS04595	WP_209388036.1	rpsN	30S ribosomal protein S14
gene-ACSAL1_RS04600	WP_017417317.1		hypothetical protein
gene-ACSAL1_RS04605	WP_003155407.1		helix-turn-helix transcriptional regulator
gene-ACSAL1_RS04615	WP_209388037.1		hypothetical protein
gene-ACSAL1_RS04620	WP_209388038.1	queG	tRNA epoxyqueuosine(34) reductase QueG
gene-ACSAL1_RS04625	WP_209388039.1		amidase domain-containing protein
gene-ACSAL1_RS04630	WP_007610253.1	trmL	tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL
gene-ACSAL1_RS04635	WP_176464764.1		YhbD family protein
gene-ACSAL1_RS04640	WP_017417324.1		polymer-forming cytoskeletal protein
gene-ACSAL1_RS04645	WP_031378424.1		hypothetical protein
gene-ACSAL1_RS04650	WP_003155391.1	prkA	serine/threonine protein kinase PrkA
gene-ACSAL1_RS04655	WP_017417325.1	yhbH	sporulation protein YhbH
gene-ACSAL1_RS04660	WP_003155389.1		MarR family transcriptional regulator
gene-ACSAL1_RS04665	WP_007610259.1		HlyD family secretion protein
gene-ACSAL1_RS04670	WP_003155387.1		MFS transporter
gene-ACSAL1_RS04675	WP_003155386.1		NAD(P)H-dependent oxidoreductase
gene-ACSAL1_RS04680	WP_014417269.1		hypothetical protein
gene-ACSAL1_RS04685	WP_209388040.1		hypothetical protein
gene-ACSAL1_RS04690	WP_025650314.1		GntR family transcriptional regulator
gene-ACSAL1_RS04695	WP_209388041.1		ATP-binding cassette domain-containing protein
gene-ACSAL1_RS04700	WP_012117151.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS04705	WP_014417273.1		ABC transporter permease
gene-ACSAL1_RS04710	WP_003155376.1	cspB	cold shock-like protein CspB
gene-ACSAL1_RS04715	WP_209388042.1		MetQ/NlpA family ABC transporter substrate-binding protein
gene-ACSAL1_RS04720	WP_038461312.1		GGDEF domain-containing protein
gene-ACSAL1_RS04725	WP_014417276.1		L-cystine transporter
gene-ACSAL1_RS04730	WP_104843205.1		hypothetical protein
gene-ACSAL1_RS04735	WP_003155362.1		YhcN/YlaJ family sporulation lipoprotein
gene-ACSAL1_RS04740	WP_014417278.1		hypothetical protein
gene-ACSAL1_RS04745	WP_209388043.1		spore coat protein
gene-ACSAL1_RS04750	WP_209388044.1		bifunctional metallophosphatase/5'-nucleotidase
gene-ACSAL1_RS04755	WP_032871062.1		class D sortase
gene-ACSAL1_RS04760	WP_209388045.1		RluA family pseudouridine synthase
gene-ACSAL1_RS04765	WP_007408448.1		DUF5365 family protein
gene-ACSAL1_RS04770	WP_007610283.1		CBS domain-containing protein
gene-ACSAL1_RS04775	WP_003155347.1		HAD family hydrolase
gene-ACSAL1_RS04780	WP_003155346.1		bifunctional GNAT family N-acetyltransferase/carbon-nitrogen hydrolase family protein
gene-ACSAL1_RS04785	WP_209388046.1		aspartate aminotransferase family protein
gene-ACSAL1_RS04790	WP_007610287.1		glycerol-3-phosphate responsive antiterminator
gene-ACSAL1_RS04795	WP_021494903.1		MIP/aquaporin family protein
gene-ACSAL1_RS04800	WP_007610291.1	glpK	glycerol kinase GlpK
gene-ACSAL1_RS04805	WP_014417285.1	glpD	glycerol-3-phosphate dehydrogenase
gene-ACSAL1_RS04810	WP_209388047.1		phospho-sugar mutase
gene-ACSAL1_RS04815	WP_209388048.1		GAF domain-containing sensor histidine kinase
gene-ACSAL1_RS04820	WP_209388049.1		response regulator
gene-ACSAL1_RS04825	WP_128496533.1		NADPH-dependent FMN reductase
gene-ACSAL1_RS04830	WP_003155335.1		YhdB family protein
gene-ACSAL1_RS04835	WP_003155332.1		DUF3889 domain-containing protein
gene-ACSAL1_RS04840	WP_014417290.1	lytF	peptidoglycan endopeptidase LytF
gene-ACSAL1_RS04845	WP_007610306.1	nsrR	nitric oxide-sensing transcriptional repressor NsrR
gene-ACSAL1_RS04850	WP_209388050.1		mechanosensitive ion channel
gene-ACSAL1_RS04855	WP_159353954.1		SpoVR family protein
gene-ACSAL1_RS04860	WP_017417347.1	phoA	alkaline phosphatase PhoA
gene-ACSAL1_RS04865	WP_014417294.1		C40 family peptidase
gene-ACSAL1_RS04870	WP_007409271.1	citR	transcriptional regulator CitR
gene-ACSAL1_RS04875	WP_095273110.1		citrate synthase/methylcitrate synthase
gene-ACSAL1_RS04880	WP_014417296.1		SDR family oxidoreductase
gene-ACSAL1_RS04885	WP_014417297.1	bcaP	branched-chain amino acid transporter BcaP
gene-ACSAL1_RS04890	WP_209388051.1		sodium-dependent transporter
gene-ACSAL1_RS04895	WP_003155315.1		anti-sigma-M factor
gene-ACSAL1_RS04900	WP_088005355.1		anti-sigma factor
gene-ACSAL1_RS04905	WP_003155312.1	sigM	RNA polymerase sigma factor SigM
gene-ACSAL1_RS04910	WP_007409265.1		lysophospholipid acyltransferase family protein
gene-ACSAL1_RS04915	WP_007409264.1		hemolysin family protein
gene-ACSAL1_RS04920	WP_007409263.1	cueR	Cu(I)-responsive transcriptional regulator
gene-ACSAL1_RS04925	WP_209388052.1		pyridoxal phosphate-dependent aminotransferase
gene-ACSAL1_RS04930	WP_209388053.1		beta-ketoacyl synthase N-terminal-like domain-containing protein
gene-ACSAL1_RS04935	WP_209388054.1		hemolysin family protein
gene-ACSAL1_RS04940	WP_061862020.1	crcB	fluoride efflux transporter CrcB
gene-ACSAL1_RS04945	WP_014417303.1		fluoride efflux transporter FluC
gene-ACSAL1_RS04950	WP_014417304.1		glycerophosphodiester phosphodiesterase
gene-ACSAL1_RS04955	WP_003155299.1		YhdX family protein
gene-ACSAL1_RS04960	WP_209388055.1		mechanosensitive ion channel family protein
gene-ACSAL1_RS04965	WP_481748177.1		NAD-dependent protein deacylase
gene-ACSAL1_RS04970	WP_014417307.1		polysaccharide deacetylase family protein
gene-ACSAL1_RS04975	WP_014417308.1	dat	D-amino-acid transaminase
gene-ACSAL1_RS04980	WP_014720932.1		TetR/AcrR family transcriptional regulator
gene-ACSAL1_RS04985	WP_014417310.1		hypothetical protein
gene-ACSAL1_RS04990	WP_003155289.1		universal stress protein
gene-ACSAL1_RS04995	WP_209388057.1	bmrC	multidrug ABC transporter ATP-binding protein BmrC
gene-ACSAL1_RS05000	WP_106080393.1	bmrD	multidrug resistance ABC transporter ATP-binding protein/permease BmrD
gene-ACSAL1_RS05005	WP_014417314.1		NAD(P)-dependent oxidoreductase
gene-ACSAL1_RS05010	WP_007610363.1		hypothetical protein
gene-ACSAL1_RS05015	WP_007610368.1		alpha/beta-type small acid-soluble spore protein
gene-ACSAL1_RS05020	WP_012117190.1		YheE family protein
gene-ACSAL1_RS05025	WP_022553605.1		YheC/YheD family endospore coat-associated protein
gene-ACSAL1_RS05030	WP_014417317.1		YheC/YheD family endospore coat-associated protein
gene-ACSAL1_RS05035	WP_014417318.1		DUF445 domain-containing protein
gene-ACSAL1_RS05040	WP_014720937.1		YlbF/YmcA family competence regulator
gene-ACSAL1_RS05045	WP_209388058.1		DNA alkylation repair protein
gene-ACSAL1_RS05050	WP_007409237.1		Cof-type HAD-IIB family hydrolase
gene-ACSAL1_RS05055	WP_209388059.1		coproporphyrinogen III oxidase
gene-ACSAL1_RS05060	WP_209388060.1		lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein
gene-ACSAL1_RS05065	WP_003155266.1		cation:proton antiporter
gene-ACSAL1_RS05070	WP_012117200.1		cation:proton antiporter regulatory subunit
gene-ACSAL1_RS05075	WP_014417322.1		hypothetical protein
gene-ACSAL1_RS05080	WP_007409232.1		enoyl-CoA hydratase
gene-ACSAL1_RS05085	WP_015239502.1		YhzD family protein
gene-ACSAL1_RS05090	WP_007409231.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS05095	WP_209388061.1		ABC transporter permease
gene-ACSAL1_RS05100	WP_159353970.1		metallophosphoesterase family protein
gene-ACSAL1_RS05105	WP_209388062.1		ATP-binding protein
gene-ACSAL1_RS05110	WP_003155251.1	yhaM	3'-5' exoribonuclease YhaM
gene-ACSAL1_RS05115	WP_012117207.1		sporulation YhaL family protein
gene-ACSAL1_RS05120	WP_061862029.1		peptidylprolyl isomerase
gene-ACSAL1_RS05125	WP_017417375.1	yhzE1	sporulation protein YhzE1
gene-ACSAL1_RS05130	WP_003155248.1	yhzE2	sporulation protein YhzE2
gene-ACSAL1_RS05135	WP_003155245.1		hypothetical protein
gene-ACSAL1_RS05140	WP_007409225.1		DUF3267 domain-containing protein
gene-ACSAL1_RS05145	WP_003155243.1		YhaI family protein
gene-ACSAL1_RS05150	WP_014417329.1		HTH-type transcriptional regulator Hpr
gene-ACSAL1_RS05155	WP_014417330.1		YtxH domain-containing protein
gene-ACSAL1_RS05160	WP_007409223.1	yhzF	membrane protein YhzF
gene-ACSAL1_RS05165	WP_003155234.1		tryptophan transporter
gene-ACSAL1_RS05170	WP_088056541.1	serC	3-phosphoserine/phosphohydroxythreonine transaminase
gene-ACSAL1_RS05175	WP_021494930.1		HIT family protein
gene-ACSAL1_RS05180	WP_003155231.1	ecsA	ABC transporter ATP-binding protein EcsA
gene-ACSAL1_RS05185	WP_209388063.1		ABC transporter permease
gene-ACSAL1_RS05190	WP_209388064.1		EcsC family protein
gene-ACSAL1_RS05195	WP_209388065.1		M20 family metallopeptidase
gene-ACSAL1_RS05200	WP_182072509.1		hypothetical protein
gene-ACSAL1_RS05205	WP_017417382.1	hmoB	heme-degrading oxygenase HmoB
gene-ACSAL1_RS05210	WP_021494934.1		transglycosylase domain-containing protein
gene-ACSAL1_RS05215	WP_209388066.1	hemE	uroporphyrinogen decarboxylase
gene-ACSAL1_RS05220	WP_209388067.1	hemH	ferrochelatase
gene-ACSAL1_RS05225	WP_014417341.1	hemY	protoporphyrinogen oxidase
gene-ACSAL1_RS05230	WP_003155219.1		TetR/AcrR family transcriptional regulator
gene-ACSAL1_RS05235	WP_021494936.1		YhgE/Pip domain-containing protein
gene-ACSAL1_RS05240	WP_003155217.1	fabHB	beta-ketoacyl-ACP synthase III FabHB
gene-ACSAL1_RS05245	WP_095273051.1		hypothetical protein
gene-ACSAL1_RS05250	WP_204283013.1		M42 family metallopeptidase
gene-ACSAL1_RS05255	WP_003155211.1	gltT	glutamate/proton symporter GltT
gene-ACSAL1_RS05260	WP_012117221.1	yhfH	protein YhfH
gene-ACSAL1_RS05265	WP_014417345.1		MBL fold metallo-hydrolase
gene-ACSAL1_RS05270	WP_003155205.1	lplA	lipoate--protein ligase
gene-ACSAL1_RS05275	WP_209388324.1		SDR family oxidoreductase
gene-ACSAL1_RS05280	WP_007409202.1		fatty acid--CoA ligase family protein
gene-ACSAL1_RS05285	WP_007409201.1		YhfM domain-containing protein
gene-ACSAL1_RS05290	WP_003155197.1		M48 family metallopeptidase
gene-ACSAL1_RS05295	WP_014417349.1		S8 family peptidase
gene-ACSAL1_RS05300	WP_209388068.1		ABC transporter substrate-binding protein
gene-ACSAL1_RS05305	WP_017417397.1		histidine phosphatase family protein
gene-ACSAL1_RS05310	WP_209388069.1		acetyl-CoA C-acyltransferase
gene-ACSAL1_RS05315	WP_095273042.1		acyl-CoA synthetase
gene-ACSAL1_RS05320	WP_014304743.1		biotin transporter BioY
gene-ACSAL1_RS05325	WP_369719112.1		methyl-accepting chemotaxis protein
gene-ACSAL1_RS05330			protoglobin domain-containing protein
gene-ACSAL1_RS05335	WP_209388070.1		FAD-dependent oxidoreductase
gene-ACSAL1_RS05340	WP_007610477.1		SDR family oxidoreductase
gene-ACSAL1_RS05345	WP_007610478.1		IDEAL domain-containing protein
gene-ACSAL1_RS05350	WP_003155179.1		competence protein ComK
gene-ACSAL1_RS05355	WP_012117235.1		iron chaperone
gene-ACSAL1_RS05360	WP_209388071.1		iron chaperone
gene-ACSAL1_RS05365	WP_095273033.1		MepB family protein
gene-ACSAL1_RS05370	WP_029973179.1		YrpD family protein
gene-ACSAL1_RS05375	WP_003155168.1		excalibur calcium-binding domain-containing protein
gene-ACSAL1_RS05380	WP_209388072.1		YbjQ family protein
gene-ACSAL1_RS05385	WP_103527011.1		sodium:solute symporter family protein
gene-ACSAL1_RS05390	WP_007409181.1		DUF3311 domain-containing protein
gene-ACSAL1_RS05395	WP_061862047.1		YhjD family protein
gene-ACSAL1_RS05400	WP_209388073.1		TVP38/TMEM64 family protein
gene-ACSAL1_RS05405	WP_003155158.1	lepB	signal peptidase I
gene-ACSAL1_RS05410	WP_209388074.1		monooxygenase
gene-ACSAL1_RS05415	WP_012117244.1		MarR family transcriptional regulator
gene-ACSAL1_RS05420	WP_022553582.1		AbrB family transcriptional regulator
gene-ACSAL1_RS05425	WP_014417364.1		MFS transporter
gene-ACSAL1_RS05430	WP_209388075.1		TetR/AcrR family transcriptional regulator
gene-ACSAL1_RS05435	WP_007610501.1		ferritin-like domain-containing protein
gene-ACSAL1_RS05440	WP_017417413.1		DUF421 domain-containing protein
gene-ACSAL1_RS05445	WP_209388076.1	addB	helicase-exonuclease AddAB subunit AddB
gene-ACSAL1_RS05450	WP_209388325.1	addA	helicase-exonuclease AddAB subunit AddA
gene-ACSAL1_RS05455	WP_209388077.1	sbcD	exonuclease subunit SbcD
gene-ACSAL1_RS05460	WP_209388078.1	sbcC	exonuclease subunit SbcC
gene-ACSAL1_RS05465	WP_017417418.1		hypothetical protein
gene-ACSAL1_RS05470	WP_003155143.1		spore germination protein
gene-ACSAL1_RS05475	WP_014417372.1		spore germination protein GerPE
gene-ACSAL1_RS05480	WP_003155141.1		hypothetical protein
gene-ACSAL1_RS05485	WP_014417373.1	gerPC	spore germination protein GerPC
gene-ACSAL1_RS05490	WP_007409164.1		spore germination protein GerPB
gene-ACSAL1_RS05495	WP_003155135.1		spore germination protein
gene-ACSAL1_RS05500	WP_014417374.1		aspartyl-phosphate phosphatase Spo0E family protein
gene-ACSAL1_RS05505	WP_202729492.1		fumarylacetoacetate hydrolase family protein
gene-ACSAL1_RS05510	WP_003155128.1		YisL family protein
gene-ACSAL1_RS05515	WP_209388079.1		DUF2777 family protein
gene-ACSAL1_RS05520	WP_209388080.1	asnB	asparagine synthase (glutamine-hydrolyzing)
gene-ACSAL1_RS05525	WP_110124631.1		squalene/phytoene synthase family protein
gene-ACSAL1_RS05530	WP_003155121.1		MATE family efflux transporter
gene-ACSAL1_RS05535	WP_025649568.1		AraC family transcriptional regulator
gene-ACSAL1_RS05540	WP_209388081.1		LacI family DNA-binding transcriptional regulator
gene-ACSAL1_RS05545	WP_017417427.1	iolX	scyllo-inositol 2-dehydrogenase
gene-ACSAL1_RS05550	WP_209388082.1		DinB family protein
gene-ACSAL1_RS05555	WP_014417385.1		LysE/ArgO family amino acid transporter
gene-ACSAL1_RS05560	WP_209388083.1	pdxR	MocR-like pyridoxine biosynthesis transcription factor PdxR
gene-ACSAL1_RS05565	WP_209388084.1		pentapeptide repeat-containing protein
gene-ACSAL1_RS05570	WP_209388085.1		GNAT family N-acetyltransferase
gene-ACSAL1_RS05575	WP_014417388.1		bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase
gene-ACSAL1_RS05580	WP_012117263.1		YajQ family cyclic di-GMP-binding protein
gene-ACSAL1_RS05585	WP_209388326.1		CvfB family protein
gene-ACSAL1_RS05590	WP_209388086.1		BMP family lipoprotein
gene-ACSAL1_RS05595	WP_209388087.1		methyl-accepting chemotaxis protein
gene-ACSAL1_RS05600	WP_061862063.1	cypC	CYP152 family fatty-acid peroxygenase CypC
gene-ACSAL1_RS05605	WP_003155105.1		hypothetical protein
gene-ACSAL1_RS05610	WP_014417393.1		DegV family protein
gene-ACSAL1_RS05615	WP_007610547.1		YitT family protein
gene-ACSAL1_RS05620	WP_017417434.1		BsuPI-related putative proteinase inhibitor
gene-ACSAL1_RS05625	WP_003155097.1		DUF3813 domain-containing protein
gene-ACSAL1_RS05630	WP_003155094.1		hypothetical protein
gene-ACSAL1_RS05635	WP_007610550.1		Cof-type HAD-IIB family hydrolase
gene-ACSAL1_RS05640	WP_007409140.1		prolyl oligopeptidase family serine peptidase
gene-ACSAL1_RS05645	WP_003155088.1		metal-sulfur cluster assembly factor
gene-ACSAL1_RS05650	WP_209388327.1	fosM	FosM family fosfomycin resistance protein
gene-ACSAL1_RS05655	WP_209388088.1		FAD-binding oxidoreductase
gene-ACSAL1_RS05660	WP_003155082.1		MFS transporter
gene-ACSAL1_RS05665	WP_014417398.1	argC	N-acetyl-gamma-glutamyl-phosphate reductase
gene-ACSAL1_RS05670	WP_209388089.1	argJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase
gene-ACSAL1_RS05675	WP_209388090.1	argB	acetylglutamate kinase
gene-ACSAL1_RS05680	WP_106067873.1	argD	acetylornithine transaminase
gene-ACSAL1_RS05685	WP_095060858.1		carbamoyl phosphate synthase small subunit
gene-ACSAL1_RS05690	WP_209388091.1	carB	carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit
gene-ACSAL1_RS05695	WP_209388092.1	argF	ornithine carbamoyltransferase
gene-ACSAL1_RS05700	WP_003155070.1		YjzC family protein
gene-ACSAL1_RS05705	WP_007409129.1		YjzD family protein
gene-ACSAL1_RS05710	WP_209388093.1		lipase family protein
gene-ACSAL1_RS05715	WP_032863798.1		Rossmann-fold NAD(P)-binding domain-containing protein
gene-ACSAL1_RS05720	WP_072177123.1		BMP family ABC transporter substrate-binding protein
gene-ACSAL1_RS05725	WP_003155061.1		ComZ family protein
gene-ACSAL1_RS05730	WP_007409123.1		hypothetical protein
gene-ACSAL1_RS05735	WP_007409122.1		beta-ketoacyl-ACP synthase III
gene-ACSAL1_RS05740	WP_021494977.1	fabF	beta-ketoacyl-ACP synthase II
gene-ACSAL1_RS05745	WP_209388094.1		DUF2268 domain-containing putative Zn-dependent protease
gene-ACSAL1_RS05750	WP_209388095.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS05755	WP_007610590.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS05760	WP_209388096.1		peptide-binding protein
gene-ACSAL1_RS05765	WP_007610596.1	appB	oligopeptide ABC transporter permease AppB
gene-ACSAL1_RS05770	WP_072177127.1	opp4C	oligopeptide ABC transporter permease
gene-ACSAL1_RS05775	WP_007409116.1		YjbA family protein
gene-ACSAL1_RS05780	WP_014417415.1	trpS	tryptophan--tRNA ligase
gene-ACSAL1_RS05785	WP_209388097.1		peptide ABC transporter substrate-binding protein
gene-ACSAL1_RS05790	WP_003155043.1		ABC transporter permease
gene-ACSAL1_RS05795	WP_007409113.1	oppC	oligopeptide ABC transporter permease OppC
gene-ACSAL1_RS05800	WP_003155039.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS05805	WP_017417453.1	oppF	oligopeptide ABC transporter ATP-binding protein OppF
gene-ACSAL1_RS05810	WP_121984166.1		putative glycoside hydrolase
gene-ACSAL1_RS05815	WP_007409110.1		GNAT family N-acetyltransferase
gene-ACSAL1_RS05820	WP_003155034.1	spx	transcriptional regulator Spx
gene-ACSAL1_RS05825	WP_014417421.1		TerC family protein
gene-ACSAL1_RS05830	WP_003155032.1	mecA	adaptor protein MecA
gene-ACSAL1_RS05835	WP_209388098.1		competence protein CoiA family protein
gene-ACSAL1_RS05840	WP_103527241.1	pepF	oligoendopeptidase F
gene-ACSAL1_RS05845	WP_003155026.1		hypothetical protein
gene-ACSAL1_RS05850	WP_003155024.1	spxH	protease adaptor protein SpxH
gene-ACSAL1_RS05855	WP_003155023.1		globin domain-containing protein
gene-ACSAL1_RS05860	WP_022553553.1		lytic transglycosylase domain-containing protein
gene-ACSAL1_RS05865	WP_021494986.1		CYTH domain-containing protein
gene-ACSAL1_RS05870	WP_012117290.1		UPF0738 family protein
gene-ACSAL1_RS05875	WP_003155019.1	yjbM	GTP diphosphokinase
gene-ACSAL1_RS05880	WP_003155018.1		NAD kinase
gene-ACSAL1_RS05885	WP_209388099.1		RluA family pseudouridine synthase
gene-ACSAL1_RS05890	WP_209388100.1	prpE	bis(5'-nucleosyl)-tetraphosphatase PrpE
gene-ACSAL1_RS05895	WP_029973137.1		monovalent cation:proton antiporter family protein
gene-ACSAL1_RS05900	WP_015417218.1	tenA	thiaminase II
gene-ACSAL1_RS05905	WP_012117296.1	tenI	thiazole tautomerase TenI
gene-ACSAL1_RS05910	WP_209388101.1	thiO	glycine oxidase ThiO
gene-ACSAL1_RS05915	WP_007409096.1	thiS	sulfur carrier protein ThiS
gene-ACSAL1_RS05920	WP_007610655.1	thiG	thiazole synthase
gene-ACSAL1_RS05925	WP_209388102.1	thiF	thiazole biosynthesis adenylyltransferase ThiF
gene-ACSAL1_RS05930	WP_014417432.1	thiD	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
gene-ACSAL1_RS05935	WP_003155001.1	fabI	enoyl-ACP reductase FabI
gene-ACSAL1_RS05940	WP_280879240.1		CotO family spore coat protein
gene-ACSAL1_RS05945	WP_003154997.1	cotZ	spore coat protein CotZ
gene-ACSAL1_RS05950	WP_003154995.1		CotY/CotZ family spore coat protein
gene-ACSAL1_RS05955	WP_014417434.1	cotX	spore coat protein CotX
gene-ACSAL1_RS05960	WP_014417435.1		hypothetical protein
gene-ACSAL1_RS05965	WP_022553545.1		spore coat protein
gene-ACSAL1_RS05970	WP_014417437.1		DUF1360 domain-containing protein
gene-ACSAL1_RS05975	WP_012117306.1		hypothetical protein
gene-ACSAL1_RS05980	WP_007610678.1		YjcZ family sporulation protein
gene-ACSAL1_RS05985	WP_003154986.1	spoVIF	sporulation-specific transcription regulator SpoVIF
gene-ACSAL1_RS05990	WP_209388104.1		ATP-dependent helicase
gene-ACSAL1_RS05995	WP_014417440.1		hypothetical protein
gene-ACSAL1_RS06000	WP_209388105.1	bla	subclass B1 metallo-beta-lactamase
gene-ACSAL1_RS06005	WP_022553543.1		ABC transporter permease
gene-ACSAL1_RS06010	WP_209388106.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS06015	WP_007409078.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein
gene-ACSAL1_RS06020	WP_209388107.1		GNAT family N-acetyltransferase
gene-ACSAL1_RS06025	WP_209388108.1		YjcG family protein
gene-ACSAL1_RS06030	WP_007409075.1		esterase family protein
gene-ACSAL1_RS06035	WP_021495000.1		methionine biosynthesis PLP-dependent protein
gene-ACSAL1_RS06040	WP_209388109.1	metC	cystathionine beta-lyase
gene-ACSAL1_RS06050	WP_095272963.1		tRNA-Val4
gene-ACSAL1_RS06055	WP_095272961.1		contact-dependent growth inhibition system immunity protein
gene-ACSAL1_RS06060			hypothetical protein
gene-ACSAL1_RS06065	WP_021494070.1		CDI toxin immunity protein
gene-ACSAL1_RS06070	WP_209388110.1		T7SS effector LXG polymorphic toxin
gene-ACSAL1_RS06075	WP_095273419.1		helix-turn-helix domain-containing protein
gene-ACSAL1_RS06080	WP_209388111.1		macro domain-containing protein
gene-ACSAL1_RS06085	WP_095273420.1		DarT ssDNA thymidine ADP-ribosyltransferase family protein
gene-ACSAL1_RS06090	WP_209388112.1		contact-dependent growth inhibition system immunity protein
gene-ACSAL1_RS06095	WP_209388113.1		ribonuclease YeeF family protein
gene-ACSAL1_RS06100	WP_022553538.1		hypothetical protein
gene-ACSAL1_RS06105	WP_209388114.1		alpha/beta fold hydrolase
gene-ACSAL1_RS06110	WP_014417482.1		HIT domain-containing protein
gene-ACSAL1_RS06115			hypothetical protein
gene-ACSAL1_RS06120	WP_095271675.1		DNA-binding protein
gene-ACSAL1_RS06125	WP_209388115.1		hypothetical protein
gene-ACSAL1_RS06130	WP_014417485.1		VOC family protein
gene-ACSAL1_RS06135	WP_209388328.1	bla	class A beta-lactamase
gene-ACSAL1_RS06140	WP_022553524.1		putative quinol monooxygenase
gene-ACSAL1_RS06145	WP_209388116.1		MDR family MFS transporter
gene-ACSAL1_RS06150	WP_007407329.1		MarR family transcriptional regulator
gene-ACSAL1_RS06155	WP_017417565.1		glycoside hydrolase family 53 protein
gene-ACSAL1_RS06160	WP_209388117.1	galT	UDP-glucose--hexose-1-phosphate uridylyltransferase
gene-ACSAL1_RS06165	WP_209388118.1	galE	UDP-glucose 4-epimerase GalE
gene-ACSAL1_RS06170	WP_209388119.1		galactokinase
gene-ACSAL1_RS06175	WP_209388120.1		PTS lactose transporter subunit IIBC
gene-ACSAL1_RS06180	WP_007407323.1		PTS sugar transporter subunit IIA
gene-ACSAL1_RS06185	WP_209388121.1	lacG	6-phospho-beta-galactosidase
gene-ACSAL1_RS06190	WP_022553515.1		DeoR/GlpR family DNA-binding transcription regulator
gene-ACSAL1_RS06195	WP_209388122.1		HAD family hydrolase
gene-ACSAL1_RS06200	WP_209388123.1		DUF3147 family protein
gene-ACSAL1_RS06205	WP_209388329.1		MarR family winged helix-turn-helix transcriptional regulator
gene-ACSAL1_RS06210			MgtC/SapB family protein
gene-ACSAL1_RS06215	WP_072177299.1		hypothetical protein
gene-ACSAL1_RS06220	WP_209388124.1		YjfB family protein
gene-ACSAL1_RS06225	WP_014417497.1		ribosomal maturation YjgA family protein
gene-ACSAL1_RS06230	WP_209388125.1		YjgB family protein
gene-ACSAL1_RS06235	WP_209388126.1	fdhF	formate dehydrogenase subunit alpha
gene-ACSAL1_RS06240	WP_012117344.1		helical membrane plugin domain-containing protein
gene-ACSAL1_RS06245	WP_209388127.1		cytochrome P450
gene-ACSAL1_RS06250	WP_209388128.1		macrolide family glycosyltransferase
gene-ACSAL1_RS06255	WP_003154919.1		DUF8096 family protein
gene-ACSAL1_RS06260	WP_021494045.1		uroporphyrinogen-III synthase
gene-ACSAL1_RS06265	WP_021494044.1		ABC transporter permease
gene-ACSAL1_RS06270	WP_209388129.1		ABC transporter ATP-binding protein
gene-ACSAL1_RS06275	WP_053285039.1		DMT family transporter
gene-ACSAL1_RS06280	WP_209388130.1		cupin domain-containing protein
gene-ACSAL1_RS06285	WP_003154908.1		DUF1641 domain-containing protein
gene-ACSAL1_RS06290	WP_209388131.1		NAD(P)/FAD-dependent oxidoreductase
gene-ACSAL1_RS06295	WP_209388132.1	uxaC	glucuronate isomerase
gene-ACSAL1_RS06300	WP_209388133.1		MFS transporter
gene-ACSAL1_RS06305	WP_209388134.1		LacI family DNA-binding transcriptional regulator
gene-ACSAL1_RS06310	WP_128496590.1		tagaturonate reductase
gene-ACSAL1_RS06315	WP_209388135.1		UxaA family hydrolase
gene-ACSAL1_RS06320	WP_007610763.1		sulfite exporter TauE/SafE family protein
gene-ACSAL1_RS06325	WP_021494037.1		DinB family protein
