gene_id	protein_id	gene_symbol	product
gene-ACZ0AN_RS05825	WP_020450828.1		IDEAL domain-containing protein
gene-ACZ0AN_RS05830	WP_020450829.1		competence protein ComK
gene-ACZ0AN_RS05835	WP_020450830.1		hypothetical protein
gene-ACZ0AN_RS05840	WP_020450831.1		TVP38/TMEM64 family protein
gene-ACZ0AN_RS05845	WP_020450832.1	lepB	signal peptidase I
gene-ACZ0AN_RS05850	WP_020450833.1		S8 family peptidase
gene-ACZ0AN_RS05855	WP_020450834.1		MFS transporter
gene-ACZ0AN_RS05860	WP_212110400.1		PucR family transcriptional regulator
gene-ACZ0AN_RS05865	WP_212110401.1	allB	allantoinase AllB
gene-ACZ0AN_RS05870	WP_020450840.1	allC	allantoate deiminase
gene-ACZ0AN_RS05875	WP_020450841.1	allE	(S)-ureidoglycine aminohydrolase
gene-ACZ0AN_RS05880	WP_020450842.1	allD	ureidoglycolate dehydrogenase
gene-ACZ0AN_RS05885	WP_020450843.1	allD	ureidoglycolate dehydrogenase
gene-ACZ0AN_RS05890	WP_197407230.1		acyl-CoA synthetase FdrA
gene-ACZ0AN_RS05895	WP_023856588.1		YlbE family protein
gene-ACZ0AN_RS05900	WP_020450846.1		oxamate carbamoyltransferase subunit AllH family protein
gene-ACZ0AN_RS05905	WP_020450847.1	arcC	carbamate kinase
gene-ACZ0AN_RS05910	WP_146873623.1		MFS transporter
gene-ACZ0AN_RS05915	WP_463315714.1		DUF2690 domain-containing protein
gene-ACZ0AN_RS05920	WP_249726596.1		Rap family tetratricopeptide repeat protein
gene-ACZ0AN_RS05925	WP_020450851.1		hypothetical protein
gene-ACZ0AN_RS05930	WP_020450852.1		LacI family DNA-binding transcriptional regulator
gene-ACZ0AN_RS05935	WP_020450853.1		ABC transporter substrate-binding protein
gene-ACZ0AN_RS05940	WP_025811719.1		carbohydrate ABC transporter permease
gene-ACZ0AN_RS05945	WP_020450855.1		carbohydrate ABC transporter permease
gene-ACZ0AN_RS05950	WP_020450856.1	melA	alpha-glucosidase/alpha-galactosidase
gene-ACZ0AN_RS05955	WP_041817178.1		AbrB family transcriptional regulator
gene-ACZ0AN_RS05960	WP_020450858.1		spore coat associated protein CotJA
gene-ACZ0AN_RS05965	WP_020450859.1		spore coat protein CotJB
gene-ACZ0AN_RS05970	WP_023856600.1		manganese catalase family protein
gene-ACZ0AN_RS05975	WP_050821026.1		AMP-binding protein
gene-ACZ0AN_RS05980	WP_035334039.1		MDR family MFS transporter
gene-ACZ0AN_RS05985	WP_025808275.1		ABC transporter substrate-binding protein
gene-ACZ0AN_RS05990	WP_249726594.1		cell wall-binding repeat-containing protein
gene-ACZ0AN_RS05995	WP_249726592.1		sensor histidine kinase
gene-ACZ0AN_RS06000	WP_231692506.1		response regulator transcription factor
gene-ACZ0AN_RS06005	WP_025811702.1		ferritin-like domain-containing protein
gene-ACZ0AN_RS06010	WP_003180424.1	modA	molybdate ABC transporter substrate-binding protein
gene-ACZ0AN_RS06015	WP_003180426.1	modB	molybdate ABC transporter permease subunit
gene-ACZ0AN_RS06020	WP_249726588.1	addB	helicase-exonuclease AddAB subunit AddB
gene-ACZ0AN_RS06025	WP_095289973.1	addA	helicase-exonuclease AddAB subunit AddA
gene-ACZ0AN_RS06030	WP_003180431.1	sbcD	exonuclease subunit SbcD
gene-ACZ0AN_RS06035	WP_003180433.1	sbcC	exonuclease subunit SbcC
gene-ACZ0AN_RS06040	WP_016885923.1		spore germination protein
gene-ACZ0AN_RS06045	WP_003180437.1		spore germination protein GerPE
gene-ACZ0AN_RS06050	WP_003180439.1		hypothetical protein
gene-ACZ0AN_RS06055	WP_020450872.1	gerPC	spore germination protein GerPC
gene-ACZ0AN_RS06060	WP_020450873.1		spore germination protein GerPB
gene-ACZ0AN_RS06065	WP_020450874.1		spore germination protein
gene-ACZ0AN_RS06070	WP_035339011.1		DUF3784 domain-containing protein
gene-ACZ0AN_RS06075	WP_020450876.1		aspartyl-phosphate phosphatase Spo0E family protein
gene-ACZ0AN_RS06080	WP_025811689.1		CotH kinase family protein
gene-ACZ0AN_RS06085	WP_048350691.1	cotG	spore coat protein CotG
gene-ACZ0AN_RS06090	WP_095289976.1		fumarylacetoacetate hydrolase family protein
gene-ACZ0AN_RS06095	WP_023856615.1		hypothetical protein
gene-ACZ0AN_RS06100	WP_023856616.1	rsgA	ribosome small subunit-dependent GTPase A
gene-ACZ0AN_RS06105	WP_456282870.1		YisL family protein
gene-ACZ0AN_RS06110	WP_020450883.1		DUF2777 domain-containing protein
gene-ACZ0AN_RS06115	WP_020450884.1	asnB	asparagine synthase (glutamine-hydrolyzing)
gene-ACZ0AN_RS06120	WP_456282869.1		ammonium transporter
gene-ACZ0AN_RS06125	WP_020450886.1		P-II family nitrogen regulator
gene-ACZ0AN_RS06130	WP_023856619.1		MATE family efflux transporter
gene-ACZ0AN_RS06135	WP_023856620.1		helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS06140	WP_020450889.1		GNAT family N-acetyltransferase
gene-ACZ0AN_RS06145	WP_020450890.1		LacI family DNA-binding transcriptional regulator
gene-ACZ0AN_RS06150	WP_020450891.1		Gfo/Idh/MocA family oxidoreductase
gene-ACZ0AN_RS06155	WP_145624398.1		DUF6731 family protein
gene-ACZ0AN_RS06160	WP_145624399.1		hypothetical protein
gene-ACZ0AN_RS06165	WP_026579921.1		Ger(x)C family spore germination protein
gene-ACZ0AN_RS06170	WP_103749052.1		GerAB/ArcD/ProY family transporter
gene-ACZ0AN_RS06175			spore germination protein
gene-ACZ0AN_RS06180	WP_023856626.1		LysE/ArgO family amino acid transporter
gene-ACZ0AN_RS06185	WP_145654190.1		aminotransferase-like domain-containing protein
gene-ACZ0AN_RS06190	WP_145654191.1		aspartate aminotransferase family protein
gene-ACZ0AN_RS06195	WP_026579917.1		pyridoxal phosphate-dependent decarboxylase family protein
gene-ACZ0AN_RS06200	WP_103749051.1		IucA/IucC family protein
gene-ACZ0AN_RS06205	WP_020450900.1		GNAT family N-acetyltransferase
gene-ACZ0AN_RS06210	WP_020450901.1		lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein
gene-ACZ0AN_RS06215	WP_020450902.1		IucA/IucC family protein
gene-ACZ0AN_RS06220	WP_020450903.1		GNAT family N-acetyltransferase
gene-ACZ0AN_RS06225	WP_025811665.1		dehydrogenase/reductase SDR family member 1
gene-ACZ0AN_RS06230	WP_026579913.1		helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS06235	WP_368679058.1	metH	methionine synthase
gene-ACZ0AN_RS06240	WP_035338980.1		bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase
gene-ACZ0AN_RS06245	WP_003180528.1		YajQ family cyclic di-GMP-binding protein
gene-ACZ0AN_RS06250			CvfB family protein
gene-ACZ0AN_RS06255	WP_023856637.1		DUF3941 domain-containing protein
gene-ACZ0AN_RS06260	WP_026579910.1		spore germination protein
gene-ACZ0AN_RS06265	WP_039072668.1		DegV family protein
gene-ACZ0AN_RS06270	WP_020450912.1		YitT family protein
gene-ACZ0AN_RS06275	WP_020450913.1		BsuPI-related putative proteinase inhibitor
gene-ACZ0AN_RS06280	WP_020450914.1	guaC	GMP reductase
gene-ACZ0AN_RS06285	WP_020450915.1		DUF3813 domain-containing protein
gene-ACZ0AN_RS06290	WP_003180548.1		hypothetical protein
gene-ACZ0AN_RS06295	WP_020450916.1		Cof-type HAD-IIB family hydrolase
gene-ACZ0AN_RS06300	WP_020450917.1		prolyl oligopeptidase family serine peptidase
gene-ACZ0AN_RS06305	WP_003180552.1		metal-sulfur cluster assembly factor
gene-ACZ0AN_RS06310	WP_463315660.1	argC	N-acetyl-gamma-glutamyl-phosphate reductase
gene-ACZ0AN_RS06315	WP_050820921.1	argJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase
gene-ACZ0AN_RS06320	WP_020450920.1	argB	acetylglutamate kinase
gene-ACZ0AN_RS06325	WP_020450921.1		acetylornithine transaminase
gene-ACZ0AN_RS06330	WP_020450922.1		carbamoyl phosphate synthase small subunit
gene-ACZ0AN_RS06335	WP_249726584.1		carbamoyl phosphate synthase large subunit
gene-ACZ0AN_RS06340	WP_020450924.1	argF	ornithine carbamoyltransferase
gene-ACZ0AN_RS06345	WP_065643386.1		undecaprenyl-diphosphate phosphatase
gene-ACZ0AN_RS06350	WP_003180573.1		YjzC family protein
gene-ACZ0AN_RS06355	WP_009328851.1		YjzD family protein
gene-ACZ0AN_RS06360	WP_011197758.1		hypothetical protein
gene-ACZ0AN_RS06365	WP_011197759.1		hypothetical protein
gene-ACZ0AN_RS06370	WP_011197760.1		BMP family ABC transporter substrate-binding protein
gene-ACZ0AN_RS06375	WP_011197761.1		ComZ family protein
gene-ACZ0AN_RS06380	WP_003180586.1		hypothetical protein
gene-ACZ0AN_RS06385	WP_003180588.1		beta-ketoacyl-ACP synthase III
gene-ACZ0AN_RS06390	WP_003180590.1	fabF	beta-ketoacyl-ACP synthase II
gene-ACZ0AN_RS06395	WP_223254838.1		hypothetical protein
gene-ACZ0AN_RS06400	WP_025808298.1		DUF2268 domain-containing putative Zn-dependent protease
gene-ACZ0AN_RS06405	WP_463315661.1		ABC transporter ATP-binding protein
gene-ACZ0AN_RS06410	WP_035339430.1		ABC transporter ATP-binding protein
gene-ACZ0AN_RS06415	WP_003180598.1		peptide-binding protein
gene-ACZ0AN_RS06420	WP_011197765.1		ABC transporter permease
gene-ACZ0AN_RS06425	WP_003180601.1	opp4C	oligopeptide ABC transporter permease
gene-ACZ0AN_RS06430	WP_011197766.1		MFS transporter
gene-ACZ0AN_RS06435	WP_003180605.1		YjbA family protein
gene-ACZ0AN_RS06440	WP_011197767.1	trpS	tryptophan--tRNA ligase
gene-ACZ0AN_RS06445	WP_020450931.1		peptide ABC transporter substrate-binding protein
gene-ACZ0AN_RS06450	WP_020450932.1		ABC transporter permease
gene-ACZ0AN_RS06455	WP_020450933.1		ABC transporter permease
gene-ACZ0AN_RS06460	WP_020450934.1		ABC transporter ATP-binding protein
gene-ACZ0AN_RS06465	WP_080131317.1		ABC transporter ATP-binding protein
gene-ACZ0AN_RS06470	WP_003180619.1		GNAT family N-acetyltransferase
gene-ACZ0AN_RS06475	WP_003180621.1	spxA	transcriptional regulator SpxA
gene-ACZ0AN_RS06480	WP_020450936.1		TerC family protein
gene-ACZ0AN_RS06485			hypothetical protein
gene-ACZ0AN_RS06490	WP_003180627.1	mecA	adaptor protein MecA
gene-ACZ0AN_RS06495	WP_026579901.1		glycosyl hydrolase family 8
gene-ACZ0AN_RS06500	WP_023856657.1		tripartite tricarboxylate transporter substrate binding protein
gene-ACZ0AN_RS06505	WP_003180634.1		tripartite tricarboxylate transporter TctB family protein
gene-ACZ0AN_RS06510	WP_020450940.1		tripartite tricarboxylate transporter permease
gene-ACZ0AN_RS06515	WP_020450941.1		response regulator
gene-ACZ0AN_RS06520	WP_020450942.1		ATP-binding protein
gene-ACZ0AN_RS06525	WP_463315662.1		competence protein CoiA family protein
gene-ACZ0AN_RS06530	WP_023856662.1	pepF	oligoendopeptidase F
gene-ACZ0AN_RS06535	WP_023856663.1		hypothetical protein
gene-ACZ0AN_RS06540	WP_003180650.1	spxH	protease adaptor protein SpxH
gene-ACZ0AN_RS06545	WP_003180652.1		globin domain-containing protein
gene-ACZ0AN_RS06550	WP_195536178.1		lytic transglycosylase domain-containing protein
gene-ACZ0AN_RS06555	WP_020450948.1		CYTH domain-containing protein
gene-ACZ0AN_RS06560	WP_003180659.1		UPF0738 family protein
gene-ACZ0AN_RS06565	WP_003180661.1	yjbM	GTP diphosphokinase
gene-ACZ0AN_RS06570	WP_023856668.1		NAD kinase
gene-ACZ0AN_RS06575	WP_456283510.1		RluA family pseudouridine synthase
gene-ACZ0AN_RS06580	WP_195536180.1	prpE	bis(5'-nucleosyl)-tetraphosphatase PrpE
gene-ACZ0AN_RS06585	WP_023856670.1		monovalent cation:proton antiporter family protein
gene-ACZ0AN_RS06590	WP_463315663.1	tenA	thiaminase II
gene-ACZ0AN_RS06595	WP_023856672.1	tenI	thiazole tautomerase TenI
gene-ACZ0AN_RS06600	WP_020450955.1	thiO	glycine oxidase ThiO
gene-ACZ0AN_RS06605	WP_020450956.1	thiS	sulfur carrier protein ThiS
gene-ACZ0AN_RS06610	WP_463315664.1		thiazole synthase
gene-ACZ0AN_RS06615	WP_463315665.1		thiazole biosynthesis adenylyltransferase ThiF
gene-ACZ0AN_RS06620	WP_080131325.1	thiD	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
gene-ACZ0AN_RS06625	WP_003180687.1	fabI	enoyl-ACP reductase FabI
gene-ACZ0AN_RS06630	WP_095290053.1		CotO family spore coat protein
gene-ACZ0AN_RS06635	WP_023856676.1		CotY/CotZ family spore coat protein
gene-ACZ0AN_RS06640	WP_003180694.1		CotY/CotZ family spore coat protein
gene-ACZ0AN_RS06645	WP_003180696.1		spore coat protein
gene-ACZ0AN_RS06650	WP_003180698.1		hypothetical protein
gene-ACZ0AN_RS06655	WP_020450962.1		spore coat protein
gene-ACZ0AN_RS06660	WP_003180704.1		DUF1360 domain-containing protein
gene-ACZ0AN_RS06665	WP_254926386.1		hypothetical protein
gene-ACZ0AN_RS06670	WP_020450964.1		hypothetical protein
gene-ACZ0AN_RS06675	WP_020450965.1		YjcZ family sporulation protein
gene-ACZ0AN_RS06680	WP_020450966.1	spoVIF	sporulation-specific transcription regulator SpoVIF
gene-ACZ0AN_RS06685	WP_463315666.1		ATP-dependent helicase
gene-ACZ0AN_RS06690	WP_003180714.1		hypothetical protein
gene-ACZ0AN_RS06695	WP_020450968.1	uptA	undecaprenyl phosphate transporter UptA
gene-ACZ0AN_RS06700	WP_145929663.1	galE	UDP-glucose 4-epimerase GalE
gene-ACZ0AN_RS06705	WP_161517787.1	galU	UTP--glucose-1-phosphate uridylyltransferase GalU
gene-ACZ0AN_RS06710	WP_212930467.1		GtrA family protein
gene-ACZ0AN_RS06715	WP_003180726.1		GNAT family N-acetyltransferase
gene-ACZ0AN_RS06720	WP_003180728.1		YjcG family protein
gene-ACZ0AN_RS06725	WP_003180731.1		esterase family protein
gene-ACZ0AN_RS06730	WP_416719954.1		helix-hairpin-helix domain-containing protein
gene-ACZ0AN_RS06735	WP_020450972.1		DinB family protein
gene-ACZ0AN_RS06740	WP_020450973.1		helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS06745	WP_003180736.1		methionine biosynthesis PLP-dependent protein
gene-ACZ0AN_RS06750	WP_020450974.1	metC	cystathionine beta-lyase
gene-ACZ0AN_RS06755			DUF819 family protein
gene-ACZ0AN_RS06760	WP_101560726.1		MarR family winged helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS06765	WP_224066935.1		hypothetical protein
gene-ACZ0AN_RS06770	WP_212930469.1		serine hydrolase
gene-ACZ0AN_RS06775	WP_429673941.1		SMI1/KNR4 family protein
gene-ACZ0AN_RS06780	WP_020450979.1		glycoside hydrolase family 43 protein
gene-ACZ0AN_RS06785	WP_033155145.1		putative holin-like toxin
gene-ACZ0AN_RS06795	WP_011197793.1		hypothetical protein
gene-ACZ0AN_RS06800	WP_212110437.1		maltose acetyltransferase domain-containing protein
gene-ACZ0AN_RS06805	WP_023856697.1		hypothetical protein
gene-ACZ0AN_RS06810	WP_145654199.1		LysR family transcriptional regulator
gene-ACZ0AN_RS06815	WP_249726582.1		assimilatory sulfite reductase (NADPH) flavoprotein subunit
gene-ACZ0AN_RS06820	WP_145645426.1	cysI	assimilatory sulfite reductase (NADPH) hemoprotein subunit
gene-ACZ0AN_RS06825	WP_023856699.1		LysR family transcriptional regulator
gene-ACZ0AN_RS06830	WP_145645424.1		DMT family transporter
gene-ACZ0AN_RS06835	WP_023856701.1		VOC family protein
gene-ACZ0AN_RS06840	WP_023856702.1		IseA DL-endopeptidase inhibitor family protein
gene-ACZ0AN_RS06845	WP_026579876.1		3D domain-containing protein
gene-ACZ0AN_RS06850	WP_026579875.1		DHA2 family efflux MFS transporter permease subunit
gene-ACZ0AN_RS06855	WP_026579874.1		TetR/AcrR family transcriptional regulator
gene-ACZ0AN_RS06860	WP_020451001.1		hypothetical protein
gene-ACZ0AN_RS06865	WP_023856707.1		regulatory YrvL family protein
gene-ACZ0AN_RS06870	WP_249726580.1		poly-gamma-glutamate hydrolase family protein
gene-ACZ0AN_RS06875	WP_249726578.1		ImmA/IrrE family metallo-endopeptidase
gene-ACZ0AN_RS06880	WP_020451005.1	xre	HTH-type transcriptional regulator Xre
gene-ACZ0AN_RS06885	WP_195257786.1		helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS06890	WP_020451007.1		hypothetical protein
gene-ACZ0AN_RS06895	WP_249726576.1		phage portal protein
gene-ACZ0AN_RS06900	WP_025811606.1		ATP-binding protein
gene-ACZ0AN_RS06905	WP_165395376.1		hypothetical protein
gene-ACZ0AN_RS06910	WP_023856714.1		hypothetical protein
gene-ACZ0AN_RS06915	WP_020451011.1		XtrA/YqaO family protein
gene-ACZ0AN_RS06920	WP_080131330.1		sigma-70 family RNA polymerase sigma factor
gene-ACZ0AN_RS06925	WP_212110455.1		terminase small subunit
gene-ACZ0AN_RS06930	WP_249726574.1		PBSX family phage terminase large subunit
gene-ACZ0AN_RS06935	WP_197407246.1		phage portal protein
gene-ACZ0AN_RS06940	WP_146874202.1		XkdF-like putative serine protease domain-containing protein
gene-ACZ0AN_RS06945	WP_020451017.1		phage major capsid family protein
gene-ACZ0AN_RS06950	WP_023856716.1	yqbG	protein YqbG
gene-ACZ0AN_RS06955	WP_026579862.1		YqbH/XkdH family protein
gene-ACZ0AN_RS06960	WP_026579861.1		HK97 gp10 family phage protein
gene-ACZ0AN_RS06965	WP_020451021.1		hypothetical protein
gene-ACZ0AN_RS06970	WP_020451022.1		hypothetical protein
gene-ACZ0AN_RS06975	WP_145645417.1		phage tail sheath family protein
gene-ACZ0AN_RS06980	WP_020451024.1		phage tail tube protein
gene-ACZ0AN_RS06985	WP_023856720.1		phage tail assembly chaperone
gene-ACZ0AN_RS06990	WP_095290311.1		hypothetical protein
gene-ACZ0AN_RS06995	WP_463315667.1		transglycosylase SLT domain-containing protein
gene-ACZ0AN_RS07000	WP_026579858.1		LysM peptidoglycan-binding domain-containing protein
gene-ACZ0AN_RS07005	WP_026579857.1		XkdQ/YqbQ family protein
gene-ACZ0AN_RS07010	WP_026579856.1		DUF2577 domain-containing protein
gene-ACZ0AN_RS07015	WP_145624478.1		DUF2634 domain-containing protein
gene-ACZ0AN_RS07020	WP_103749038.1		baseplate J/gp47 family protein
gene-ACZ0AN_RS07025	WP_103749037.1		YmfQ family protein
gene-ACZ0AN_RS07030	WP_020451034.1		phage tail-collar fiber domain-containing protein
gene-ACZ0AN_RS07035	WP_035338933.1		pyocin knob domain-containing protein
gene-ACZ0AN_RS07040	WP_249726570.1		hypothetical protein
gene-ACZ0AN_RS07045	WP_035338928.1		hemolysin XhlA family protein
gene-ACZ0AN_RS07050	WP_026579849.1		phage holin
gene-ACZ0AN_RS07055	WP_105979015.1		peptidoglycan recognition protein family protein
gene-ACZ0AN_RS07060	WP_095290105.1		GntR family transcriptional regulator
gene-ACZ0AN_RS07065	WP_023856729.1		zinc-binding alcohol dehydrogenase family protein
gene-ACZ0AN_RS07070	WP_025811596.1	uxuA	mannonate dehydratase
gene-ACZ0AN_RS07075	WP_023856787.1		SDR family oxidoreductase
gene-ACZ0AN_RS07080	WP_079289562.1		zinc-binding alcohol dehydrogenase family protein
gene-ACZ0AN_RS07085	WP_096748019.1		MFS transporter
gene-ACZ0AN_RS07090	WP_023856733.1		hypothetical protein
gene-ACZ0AN_RS07095	WP_023856734.1		type II toxin-antitoxin system SpoIISB family antitoxin
gene-ACZ0AN_RS07100	WP_023856735.1		type II toxin-antitoxin system SpoIISA family toxin
gene-ACZ0AN_RS07105	WP_075212749.1		inorganic phosphate transporter
gene-ACZ0AN_RS07110	WP_023856737.1		DUF47 domain-containing protein
gene-ACZ0AN_RS07115	WP_026579843.1	ggt	gamma-glutamyltransferase
gene-ACZ0AN_RS07120	WP_103749036.1		YesL family protein
gene-ACZ0AN_RS07125	WP_003180890.1		sensor histidine kinase
gene-ACZ0AN_RS07130	WP_186440202.1		response regulator transcription factor
gene-ACZ0AN_RS07135	WP_026579841.1		ABC transporter substrate-binding protein
gene-ACZ0AN_RS07140	WP_101560756.1		carbohydrate ABC transporter permease
gene-ACZ0AN_RS07145	WP_376711833.1		carbohydrate ABC transporter permease
gene-ACZ0AN_RS07150	WP_023856745.1		glycoside hydrolase family 88/105 protein
gene-ACZ0AN_RS07155	WP_463315668.1		helix-turn-helix domain-containing protein
gene-ACZ0AN_RS07160	WP_145608145.1		rhamnogalacturonan acetylesterase
gene-ACZ0AN_RS07165	WP_145608146.1		YesU family protein
gene-ACZ0AN_RS07170	WP_145608147.1		YesL family protein
gene-ACZ0AN_RS07175	WP_145608155.1		rhamnogalacturonan lyase
gene-ACZ0AN_RS07180	WP_261379764.1		rhamnogalacturonan acetylesterase
gene-ACZ0AN_RS07185	WP_145608148.1		rhamnogalacturonan lyase
gene-ACZ0AN_RS07190	WP_145608149.1	mgrA	L-glyceraldehyde 3-phosphate reductase
gene-ACZ0AN_RS07195	WP_023856752.1		rhamnogalacturonan acetylesterase
gene-ACZ0AN_RS07200	WP_145608150.1		beta-galactosidase
gene-ACZ0AN_RS07205	WP_463315669.1		exo-rhamnogalacturonan lyase family protein
gene-ACZ0AN_RS07210	WP_463315670.1		extracellular solute-binding protein
gene-ACZ0AN_RS07215	WP_020451071.1		ABC transporter permease
gene-ACZ0AN_RS07220	WP_463315671.1		carbohydrate ABC transporter permease
gene-ACZ0AN_RS07225	WP_095323651.1		APC family permease
gene-ACZ0AN_RS07230	WP_026579835.1		ring-cleaving dioxygenase
gene-ACZ0AN_RS07235	WP_463315715.1		S1C family serine protease
gene-ACZ0AN_RS07240	WP_411221203.1	proG	pyrroline-5-carboxylate reductase ProG
gene-ACZ0AN_RS07245	WP_023856762.1		M55 family metallopeptidase
gene-ACZ0AN_RS07250	WP_463315672.1		ABC transporter permease
gene-ACZ0AN_RS07255	WP_368679083.1		ABC transporter permease
gene-ACZ0AN_RS07260	WP_023856765.1		ABC transporter ATP-binding protein
gene-ACZ0AN_RS07265	WP_023856766.1		peptide ABC transporter substrate-binding protein
gene-ACZ0AN_RS07270	WP_223254842.1		S66 peptidase family protein
gene-ACZ0AN_RS07275	WP_003180955.1		mandelate racemase/muconate lactonizing enzyme family protein
gene-ACZ0AN_RS07280	WP_003180957.1		C40 family peptidase
gene-ACZ0AN_RS07285	WP_458110479.1		ABC transporter ATP-binding protein
gene-ACZ0AN_RS07290	WP_003180960.1		dimethylarginine dimethylaminohydrolase family protein
gene-ACZ0AN_RS07295	WP_023856769.1		acyl-CoA thioesterase
gene-ACZ0AN_RS07300	WP_026579830.1		DUF421 domain-containing protein
gene-ACZ0AN_RS07305	WP_463315673.1		pectate lyase family protein
gene-ACZ0AN_RS07310	WP_020451091.1		PadR family transcriptional regulator
gene-ACZ0AN_RS07315	WP_020451092.1		DUF1129 domain-containing protein
gene-ACZ0AN_RS07320	WP_025812026.1		small multi-drug export protein
gene-ACZ0AN_RS07325	WP_143261171.1		DinB family protein
gene-ACZ0AN_RS07330	WP_073425569.1		DMT family transporter
gene-ACZ0AN_RS07335	WP_020451096.1		DMT family transporter
gene-ACZ0AN_RS07340	WP_463315674.1	purU	formyltetrahydrofolate deformylase
gene-ACZ0AN_RS07345	WP_025812022.1	proB	glutamate 5-kinase
gene-ACZ0AN_RS07350	WP_154059126.1		glutamate-5-semialdehyde dehydrogenase
gene-ACZ0AN_RS07355	WP_262352115.1		organic hydroperoxide resistance protein
gene-ACZ0AN_RS07360	WP_154059128.1		MarR family winged helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS07365	WP_020451103.1		organic hydroperoxide resistance protein
gene-ACZ0AN_RS07370	WP_035338883.1		hypothetical protein
gene-ACZ0AN_RS07375	WP_023856775.1	guaD	guanine deaminase
gene-ACZ0AN_RS07380	WP_023856776.1		histidine phosphatase family protein
gene-ACZ0AN_RS07385	WP_145645371.1		hypothetical protein
gene-ACZ0AN_RS07390	WP_075213198.1		DUF5082 domain-containing protein
gene-ACZ0AN_RS07395	WP_463315675.1	metE	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
gene-ACZ0AN_RS07400	WP_463315676.1		S8 family peptidase
gene-ACZ0AN_RS07405	WP_020451111.1		transcriptional regulator SplA domain-containing protein
gene-ACZ0AN_RS07410	WP_020451112.1	mgtE	magnesium transporter
gene-ACZ0AN_RS07415	WP_020451113.1		hypothetical protein
gene-ACZ0AN_RS07420	WP_020451114.1		MerR family transcriptional regulator
gene-ACZ0AN_RS07425	WP_096748033.1		hypothetical protein
gene-ACZ0AN_RS07430	WP_020451116.1		hypothetical protein
gene-ACZ0AN_RS07435	WP_020451117.1		MarR family winged helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS07440	WP_463315677.1		DNA ligase D
gene-ACZ0AN_RS07445	WP_026579818.1	ku	non-homologous end joining protein Ku
gene-ACZ0AN_RS07450	WP_023856782.1		diguanylate cyclase domain-containing protein
gene-ACZ0AN_RS07455	WP_161517296.1		DedA family protein
gene-ACZ0AN_RS07460	WP_020451122.1		TerC family protein
gene-ACZ0AN_RS07465	WP_023856784.1	sigI	RNA polymerase sigma factor SigI
gene-ACZ0AN_RS07470	WP_065643306.1		anti-sigma factor domain-containing protein
gene-ACZ0AN_RS07475	WP_020451125.1		alpha/beta-type small acid-soluble spore protein
gene-ACZ0AN_RS07480	WP_154059132.1		DUF1836 domain-containing protein
gene-ACZ0AN_RS07485	WP_020451127.1	htpX	protease HtpX
gene-ACZ0AN_RS07490	WP_025811989.1		TrkH family potassium uptake protein
gene-ACZ0AN_RS07495	WP_020451129.1		penicillin-binding transpeptidase domain-containing protein
gene-ACZ0AN_RS07500	WP_023856450.1		hypothetical protein
gene-ACZ0AN_RS07505	WP_020451131.1		hypothetical protein
gene-ACZ0AN_RS07510	WP_020451132.1		acyltransferase family protein
gene-ACZ0AN_RS07515	WP_154059133.1		PAS domain-containing sensor histidine kinase
gene-ACZ0AN_RS07520	WP_020451134.1		methylated-DNA--[protein]-cysteine S-methyltransferase
gene-ACZ0AN_RS07525	WP_023857319.1		hypothetical protein
gene-ACZ0AN_RS07530	WP_079289242.1	mtnA	S-methyl-5-thioribose-1-phosphate isomerase
gene-ACZ0AN_RS07535	WP_035338874.1	mtnK	S-methyl-5-thioribose kinase
gene-ACZ0AN_RS07540	WP_020451137.1		carbon-nitrogen family hydrolase
gene-ACZ0AN_RS07545	WP_145654217.1		pyridoxal phosphate-dependent aminotransferase
gene-ACZ0AN_RS07550	WP_154059134.1	mtnW	2%2C3-diketo-5-methylthiopentyl-1-phosphate enolase
gene-ACZ0AN_RS07555	WP_103749028.1	mtnX	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
gene-ACZ0AN_RS07560	WP_023857315.1		methylthioribulose 1-phosphate dehydratase
gene-ACZ0AN_RS07565	WP_020451142.1		1%2C2-dihydroxy-3-keto-5-methylthiopentene dioxygenase
gene-ACZ0AN_RS07570	WP_096748040.1	fosB	metallothiol transferase FosB
gene-ACZ0AN_RS07575	WP_020451144.1		YkvA family protein
gene-ACZ0AN_RS07580	WP_020451145.1		aspartyl-phosphate phosphatase Spo0E family protein
gene-ACZ0AN_RS07585	WP_020451146.1		PAS domain-containing sensor histidine kinase
gene-ACZ0AN_RS07590	WP_020451147.1		MarR family winged helix-turn-helix transcriptional regulator
gene-ACZ0AN_RS07595	WP_020451148.1	motB	flagellar motor protein MotB
