ve_protein	pa_protein	identity	alignment_length	mismatches	gapopen	qstart	qend	sstart	send	evalue	bitscore
WP_017418319.1	WP_105980089.1	0.735	495	131	0	3	496	5	499	6.6460000000000005e-264	807
WP_017418350.1	WP_020452563.1	0.859	291	41	0	1	290	1	291	1.761e-165	511
WP_017419163.1	WP_075213253.1	0.794	520	107	0	1	520	1	519	6.844e-292	889
WP_020955795.1	WP_145645558.1	0.899	1069	108	0	1	1069	1	1069	0.0	1930
WP_021493417.1	WP_020451596.1	0.601	148	57	0	1	148	1	145	3.6290000000000002e-62	205
WP_022552838.1	WP_020452551.1	0.553	581	258	0	1	578	1	581	6.154e-204	638
WP_022552891.1	WP_020452405.1	0.901	254	25	0	1	254	1	254	1.333e-150	466
WP_022553224.1	WP_023857355.1	0.832	944	158	0	1	944	1	944	0.0	1652
WP_022553314.1	WP_023855720.1	0.676	442	143	0	1	442	1	442	3.173e-208	643
WP_025649327.1	WP_020453049.1	0.652	534	183	0	1	527	2	535	1.483e-233	721
WP_025649477.1	WP_035338811.1	0.834	432	72	0	1	432	1	432	2.15e-236	724
WP_025649641.1	WP_020453486.1	0.726	315	86	0	1	315	8	322	3.6720000000000004e-156	486
WP_029973037.1	WP_023857834.1	0.8	150	30	0	1	150	1	150	9.339e-78	250
WP_029973074.1	WP_020451021.1	0.609	146	57	0	1	146	1	146	5.881e-57	190
WP_209387329.1	WP_050821053.1	0.742	680	175	0	1	680	1	679	0.0	1080
WP_209387334.1	WP_023855721.1	0.807	109	21	0	1	109	1	109	1.095e-56	187
WP_209387365.1	WP_020452730.1	0.403	52	29	0	237	286	19	70	1.027e-05	44
WP_209387402.1	WP_020453443.1	0.596	112	45	0	1	112	1	112	1.019e-36	130
WP_209387441.1	WP_145645254.1	0.471	231	114	0	1	231	1	216	2.039e-55	190
WP_209387446.1	WP_145645246.1	0.471	780	412	0	4	783	3	782	1.6499999999999998e-224	708
WP_209387986.1	WP_095292924.1	0.781	485	106	0	1	485	1	485	9.378999999999999e-262	800
WP_209388021.1	WP_020450617.1	0.559	184	81	0	11	194	8	191	1.7839999999999998e-66	220
WP_209388024.1	WP_463315648.1	0.582	861	359	0	1	861	1	861	0.0	1047
WP_209388060.1	WP_020450901.1	0.412	425	248	0	1	423	10	434	3.172e-107	350
WP_209388062.1	WP_212110384.1	0.442	971	534	0	1	958	1	971	5.128e-258	814
WP_209388064.1	WP_003180270.1	0.659	229	78	0	1	229	1	229	3.8179999999999995e-103	328
WP_209388067.1	WP_003180282.1	0.811	308	58	0	4	311	3	310	9.102999999999999e-175	539
WP_003151223.1	WP_023857117.1	0.794	403	83	0	1	402	1	403	2.4e-227	696
WP_003151340.1	WP_003185831.1	0.859	149	21	0	1	149	1	149	6.049e-82	262
WP_003151382.1	WP_020453123.1	0.803	351	69	0	8	358	5	354	2.17e-188	581
WP_003151402.1	WP_003185697.1	0.689	74	23	0	1	74	1	74	1.1100000000000001e-31	113
WP_003151439.1	WP_249726783.1	0.91	661	59	0	1	661	1	661	0.0	1240
WP_003151456.1	WP_249726789.1	0.889	307	34	0	1	307	1	307	9.236e-183	562
WP_003151513.1	WP_003185550.1	0.949	198	10	0	1	198	1	198	3.5990000000000004e-120	375
WP_003151607.1	WP_020453006.1	0.821	341	61	0	1	341	1	341	6.788e-186	573
WP_003151844.1	WP_020452879.1	0.834	127	21	0	1	127	1	127	6.835e-70	226
WP_003151850.1	WP_023856214.1	0.818	341	62	0	1	341	1	341	1.4400000000000002e-184	569
WP_003155970.1	WP_003179248.1	0.968	94	3	0	1	94	1	94	6.152e-55	181
WP_003156396.1	WP_020449835.1	0.876	154	19	0	1	154	1	154	5.736e-85	271
WP_003156401.1	WP_020449840.1	0.872	360	46	0	1	360	1	358	1.2269999999999999e-204	628
WP_003156410.1	WP_020449844.1	0.845	213	33	0	1	213	1	212	3.59e-121	379
WP_004392908.1	WP_023856795.1	0.728	81	21	0	1	81	1	80	1.267e-33	119
WP_004392944.1	WP_020453656.1	0.76	117	28	0	1	116	1	117	7.998e-55	182
WP_004392973.1	WP_011201785.1	0.852	68	10	0	1	68	1	68	3.924e-39	134
WP_007407632.1	WP_020451637.1	0.774	394	89	0	1	394	1	394	2.1720000000000002e-207	638
WP_007408075.1	WP_144499094.1	0.933	422	28	0	1	422	1	422	1.4259999999999999e-269	819
WP_007408105.1	WP_020452520.1	0.779	313	69	0	1	313	1	313	1.732e-168	521
WP_007408966.1	WP_020450525.1	0.88	478	57	0	1	478	1	478	3.1970000000000002e-288	876
WP_007409294.1	WP_020451571.1	0.78	191	42	0	1	191	1	191	1.028e-97	310
WP_007409365.1	WP_020450192.1	0.754	106	26	0	1	106	1	106	9.030000000000001e-57	187
WP_007409393.1	WP_223254782.1	0.54	111	51	0	1	111	1	111	6.574e-40	139
WP_007409688.1	WP_020451278.1	0.579	119	50	0	1	119	1	119	4.55e-46	157
WP_007409707.1	WP_020451299.1	0.898	324	33	0	1	324	1	324	8.442e-191	586
WP_007409719.1	WP_003181594.1	0.843	152	23	0	1	152	1	150	8.458e-80	256
WP_007410388.1	WP_020449838.1	0.962	810	31	0	1	810	1	810	0.0	1547
WP_007410402.1	WP_020449858.1	0.933	209	14	0	1	209	1	209	4.748e-131	407
WP_007410408.1	WP_023855909.1	0.943	247	14	0	1	247	1	247	3.9479999999999996e-161	496
WP_014417035.1	WP_025810592.1	0.82	212	38	0	1	210	1	212	6.954e-111	349
WP_014417177.1	WP_020450533.1	0.694	362	110	0	1	362	1	362	5.621e-180	557
WP_014417255.1	WP_020450655.1	0.733	255	68	0	1	255	1	255	2.629e-126	396
WP_014417276.1	WP_020450687.1	0.84	458	73	0	4	461	3	460	1.891e-251	769
WP_014417290.1	WP_023857359.1	0.578	483	183	0	1	483	1	434	8.982e-171	537
WP_014417517.1	WP_249726578.1	0.564	193	82	0	4	192	4	196	6.06e-71	233
WP_015240397.1	WP_020452600.1	0.79	210	44	0	1	210	1	210	4.1470000000000004e-116	364
WP_015388236.1	WP_020451395.1	0.471	194	98	0	4	197	3	189	5.637e-49	170
WP_017418140.1	WP_025811161.1	0.313	115	71	0	1	104	1	115	2.166e-15	68
WP_017418930.1	WP_003180426.1	0.658	214	73	0	12	225	4	217	3.1549999999999996e-93	299
WP_021493442.1	WP_043054411.1	0.825	453	79	0	1	453	1	453	2.6730000000000004e-256	783
WP_021493723.1	WP_025811368.1	0.64	298	105	0	1	293	1	298	8.822e-132	414
WP_021493788.1	WP_020451132.1	0.658	331	113	0	1	331	1	331	8.607e-155	483
WP_021493878.1	WP_103750387.1	0.852	468	69	0	1	468	1	468	1.3e-268	819
WP_065180456.1	WP_009329508.1	0.661	127	42	0	1	127	1	126	3.643e-52	175
WP_087920769.1	WP_463315562.1	0.75	200	50	0	1	200	1	200	5.806e-100	317
WP_087920805.1	WP_020452972.1	0.534	174	79	0	3	176	17	187	7.615e-60	200
WP_094296304.1	WP_463315657.1	0.46	89	48	0	4	92	2	90	9.873e-27	100
WP_094296461.1	WP_020450443.1	0.808	422	81	0	1	422	1	422	3.972e-231	708
WP_103527162.1	WP_035337259.1	0.592	243	98	0	1	240	1	243	1.1859999999999999e-94	304
WP_121984384.1	WP_026579269.1	0.501	198	91	0	22	204	12	209	3.9779999999999997e-53	182
WP_209387661.1	WP_463315589.1	0.561	402	176	0	9	410	12	413	9.339e-153	481
WP_209387702.1	WP_035337350.1	0.477	308	158	0	4	311	8	311	9.711999999999999e-94	305
WP_209387727.1	WP_023855146.1	0.657	105	36	0	1	105	6	110	3.9039999999999997e-41	142
WP_209387734.1	WP_026580316.1	0.633	576	210	0	3	574	4	579	1.533e-247	764
WP_209387789.1	WP_023856807.1	0.418	311	179	0	1	311	1	309	6.666e-89	291
WP_209387828.1	WP_025810652.1	0.71	318	92	0	1	318	1	317	4.216e-152	474
WP_209388074.1	WP_095290409.1	0.539	489	225	0	1	489	1	489	2.3510000000000002e-172	542
WP_209388077.1	WP_003180431.1	0.773	389	88	0	1	388	1	389	1.172e-202	624
WP_209388100.1	WP_195536180.1	0.72	243	67	0	1	242	1	243	3.174e-121	381
WP_209388164.1	WP_463315677.1	0.571	609	260	0	1	608	1	609	4.0390000000000004e-244	756
WP_209388167.1	WP_154059133.1	0.692	734	226	0	1	734	1	734	0.0	1033
WP_209388198.1	WP_095290404.1	0.401	638	379	0	1	638	1	633	3.128e-142	462
WP_003153497.1	WP_020451937.1	0.835	267	44	0	1	267	1	267	1.7449999999999998e-145	452
WP_003153515.1	WP_026579395.1	0.932	430	29	0	1	430	1	430	1.6e-280	851
WP_003153703.1	WP_463315557.1	0.644	273	96	0	1	272	1	273	2.389e-118	374
WP_003153729.1	WP_023857369.1	0.773	106	24	0	1	106	1	106	7.66e-54	179
WP_003153783.1	WP_020451808.1	0.657	114	39	0	1	114	1	114	4.866e-51	171
WP_003154185.1	WP_003181873.1	0.868	114	15	0	1	114	1	114	4.186e-62	203
WP_003154192.1	WP_020451431.1	0.78	100	22	0	1	100	1	100	2.05e-45	154
WP_003154208.1	WP_026579731.1	0.783	383	83	0	1	383	1	383	1.7309999999999998e-203	626
WP_003154213.1	WP_020451416.1	0.975	240	6	0	1	240	1	240	3.419e-150	464
WP_003154217.1	WP_003181822.1	0.901	254	25	0	1	254	1	254	4.533e-154	476
WP_007407961.1	WP_095291966.1	0.778	221	49	0	1	221	1	221	4.324e-121	379
WP_007408011.1	WP_023857685.1	0.901	448	44	0	1	448	1	448	3.447e-272	828
WP_007408037.1	WP_095290813.1	0.767	159	37	0	1	159	1	159	1.864e-83	267
WP_007408225.1	WP_149169343.1	0.834	266	44	0	1	266	1	266	1.048e-150	467
WP_007408228.1	WP_025811068.1	0.382	162	91	0	31	179	39	200	4.364e-31	117
WP_007408478.1	WP_025811989.1	0.755	450	110	0	1	450	1	449	8.314999999999999e-228	700
WP_007408534.1	WP_020450606.1	0.566	135	56	0	1	130	1	135	2.222e-44	153
WP_007408879.1	WP_020452823.1	0.666	63	21	0	1	63	1	63	2.3959999999999998e-29	106
WP_007409231.1	WP_020450787.1	0.768	298	69	0	1	298	1	298	1.181e-156	486
WP_015239502.1	WP_020450786.1	0.508	59	29	0	1	59	1	59	3.442e-15	65
WP_017417375.1	WP_003180245.1	0.888	27	3	0	1	27	1	27	4.838e-11	51
WP_017417434.1	WP_020450913.1	0.541	146	66	0	8	153	6	150	3.8769999999999996e-47	162
WP_017417644.1	WP_079289242.1	0.772	348	79	0	1	348	1	348	1.9320000000000003e-178	552
WP_017417912.1	WP_212930467.1	0.629	124	46	0	1	124	1	124	2.6119999999999997e-51	173
WP_017417951.1	WP_101560726.1	0.694	192	57	0	1	192	1	188	5.609e-87	279
WP_017417962.1	WP_023857346.1	0.863	492	67	0	1	492	1	492	7.498999999999999e-296	899
WP_017418742.1	WP_103749408.1	0.747	261	66	0	1	261	1	261	3.0060000000000003e-128	402
WP_017418800.1	WP_026580192.1	0.767	275	64	0	1	275	1	275	6.516e-152	471
WP_209387956.1	WP_020450647.1	0.223	217	152	0	3	219	156	352	0.0001253	42
WP_209387961.1	WP_095292975.1	0.797	376	76	0	17	392	3	378	2.272e-205	632
WP_209387965.1	WP_025810323.1	0.613	323	124	0	9	331	8	328	3.7769999999999995e-133	420
WP_209388011.1	WP_309539992.1	0.714	287	82	0	1	287	1	287	1.062e-143	448
WP_209388015.1	WP_249727270.1	0.519	602	282	0	10	597	10	611	6.63e-205	642
WP_209388051.1	WP_020450728.1	0.721	452	126	0	1	451	1	452	1.2440000000000001e-223	688
WP_209388055.1	WP_039072568.1	0.642	352	126	0	5	356	2	353	7.498000000000001e-154	482
WP_209388090.1	WP_020450920.1	0.689	258	80	0	1	258	1	258	3.729e-115	364
WP_209388096.1	WP_003180598.1	0.645	544	191	0	1	540	1	544	3.18e-249	767
WP_209388131.1	WP_463315697.1	0.897	392	40	0	1	392	1	392	5.298e-239	729
WP_007409777.1	WP_020451389.1	0.691	106	32	0	1	106	1	105	9.118999999999999e-41	141
WP_007409801.1	WP_023857195.1	0.775	156	35	0	1	156	1	156	2.2710000000000002e-79	255
WP_007410067.1	WP_023856228.1	0.66	53	18	0	1	53	1	53	5.413999999999999e-22	84
WP_007410409.1	WP_020449874.1	0.961	131	5	0	1	131	1	131	6.275e-81	258
WP_007609246.1	WP_020450069.1	0.804	358	70	0	4	360	5	362	4.4010000000000005e-191	589
WP_007609299.1	WP_059230704.1	0.492	128	65	0	1	128	1	128	6.06e-41	143
WP_007609584.1	WP_031305225.1	0.917	121	10	0	1	121	1	121	1.533e-66	216
WP_007611227.1	WP_023857264.1	0.827	622	107	0	2	622	1	622	0.0	1116
WP_007611292.1	WP_020451313.1	0.725	259	71	0	1	259	1	259	3.445e-128	402
WP_014418767.1	WP_039072962.1	0.825	487	85	0	2	488	1	487	4.704e-280	853
WP_014418954.1	WP_186438629.1	0.901	275	27	0	4	278	2	276	1.009e-165	511
WP_014418960.1	WP_020453047.1	0.688	106	33	0	1	106	1	106	5.499e-46	156
WP_014419203.1	WP_025810596.1	0.642	123	44	0	5	127	3	125	3.643e-52	175
WP_014419216.1	WP_463315594.1	0.717	191	54	0	6	196	6	196	7.052e-95	302
WP_014720723.1	WP_095292536.1	0.798	476	95	0	3	478	1	473	6.611e-254	777
WP_014720932.1	WP_020452853.1	0.423	193	110	0	1	192	1	193	1.179e-44	157
WP_015388780.1	WP_035337477.1	0.796	201	41	0	1	201	1	201	1.417e-106	336
WP_022553725.1	WP_145645278.1	0.688	254	79	0	1	253	1	254	1.34e-115	365
WP_022553802.1	WP_020450024.1	0.735	231	61	0	4	234	5	235	2.29e-110	349
WP_025650395.1	WP_026578990.1	0.72	473	132	0	1	473	1	473	6.713e-233	716
WP_029325723.1	WP_020452708.1	0.35	345	221	0	13	353	13	357	7.161999999999999e-68	232
WP_029973678.1	WP_212110497.1	0.609	297	116	0	1	297	1	297	4.973000000000001e-131	412
WP_029973756.1	WP_020450424.1	0.74	316	82	0	1	316	1	316	6.505e-157	488
WP_029973792.1	WP_023856135.1	0.781	384	84	0	4	387	2	385	4.608e-204	628
WP_029973819.1	WP_080131493.1	0.629	331	122	0	2	332	3	332	3.012e-139	438
WP_209387510.1	WP_023855518.1	0.786	356	76	0	1	356	1	356	1.201e-194	599
WP_209387513.1	WP_075212772.1	0.497	175	88	0	6	180	5	179	1.14e-57	194
WP_209387515.1	WP_026579055.1	0.362	384	242	0	1	384	1	380	1.311e-62	218
WP_209387517.1	WP_095291266.1	0.639	646	233	0	1	646	1	646	3.673e-272	839
WP_209387552.1	WP_146874644.1	0.746	537	136	0	1	537	1	537	5.665e-278	850
WP_209387554.1	WP_020453235.1	0.636	263	95	0	17	279	19	281	6.106e-107	342
WP_209387556.1	WP_020452828.1	0.845	355	55	0	1	355	1	355	1.249e-210	645
WP_209387557.1	WP_020452836.1	0.633	658	239	0	1	658	1	653	1.583e-297	913
WP_209387559.1	WP_023856193.1	0.578	252	106	0	1	252	1	251	2.982e-97	312
WP_209387841.1	WP_023857730.1	0.364	140	87	0	154	291	5	144	3.994e-23	98
WP_209387889.1	WP_026580552.1	0.591	472	191	0	1	468	1	472	1.574e-184	576
WP_209387892.1	WP_023857912.1	0.777	252	56	0	1	252	1	252	5.087e-127	398
WP_209387895.1	WP_020450209.1	0.533	210	98	0	1	210	1	210	2.153e-73	241
WP_209387931.1	WP_463315592.1	0.8	713	142	0	1	713	1	713	0.0	1149
WP_209388212.1	WP_020451327.1	0.848	428	65	0	1	428	1	428	5.504e-248	757
WP_209388216.1	WP_020451336.1	0.793	373	77	0	1	373	1	373	4.316e-210	645
WP_209388220.1	WP_130569303.1	0.766	805	188	0	1	803	1	805	0.0	1264
WP_209388252.1	WP_020450473.1	0.606	66	26	0	1	66	1	66	2.573e-21	83
WP_209388260.1	WP_020451590.1	0.669	139	46	0	6	144	4	142	2.485e-64	211
WP_209388284.1	WP_020451608.1	0.616	99	38	0	1	99	1	99	5.911e-42	144
WP_209388287.1	WP_023856967.1	0.322	307	207	0	7	312	3	309	1.51e-48	174
WP_003154764.1	WP_463315674.1	0.813	300	56	0	1	300	1	300	2.322e-167	517
WP_003154807.1	WP_023856734.1	0.627	57	21	0	1	56	1	57	2.119e-17	71
WP_003155128.1	WP_456282870.1	0.72	118	33	0	1	118	1	118	1.454e-57	190
WP_003155158.1	WP_020450832.1	0.613	167	64	0	1	167	1	167	3.9940000000000003e-72	235
WP_003155197.1	WP_079289326.1	0.712	414	119	0	1	414	1	414	5.855e-206	635
WP_003155484.1	WP_020450623.1	0.796	315	64	0	1	315	1	315	8.153999999999999e-175	540
WP_003155504.1	WP_023856002.1	0.542	35	15	0	2	36	3	36	1.287e-06	39
WP_003155558.1	WP_003179806.1	0.852	61	9	0	1	61	1	61	1.16e-32	115
WP_003156188.1	WP_006638778.1	0.709	93	27	0	1	93	1	93	3.686e-36	127
WP_003156203.1	WP_023857875.1	0.673	49	16	0	4	52	2	50	6.207e-16	67
WP_007614366.1	WP_003186001.1	0.671	76	25	0	1	76	1	76	1.225e-31	113
WP_012116805.1	WP_023855630.1	0.602	315	124	0	1	313	1	315	1.8020000000000002e-124	394
WP_012116853.1	WP_023857883.1	0.907	119	11	0	4	122	6	124	8.472e-74	237
WP_012117651.1	WP_023857590.1	0.634	41	15	0	1	41	1	41	3.088e-14	61
WP_012117812.1	WP_003182837.1	0.6	60	24	0	1	60	1	60	2.062e-19	77
WP_012118657.1	WP_023857089.1	0.53	230	105	0	1	225	1	230	3.773e-73	241
WP_014419003.1	WP_020453102.1	0.514	107	52	0	8	114	7	113	5.394000000000001e-34	122
WP_014419032.1	WP_023855725.1	0.435	482	267	0	10	482	41	522	2.3450000000000005e-128	414
WP_014419171.1	WP_020453327.1	0.56	198	78	0	1	198	1	178	2.551e-64	214
WP_014419186.1	WP_025810604.1	0.856	646	93	0	1	646	1	646	0.0	1216
WP_014721787.1	WP_214485311.1	0.673	351	113	0	1	346	1	351	1.9199999999999999e-149	468
WP_015239025.1	WP_079289493.1	0.845	188	29	0	1	188	1	188	7.716999999999999e-107	336
WP_015417834.1	WP_050820709.1	0.788	439	93	0	1	438	1	439	6.853e-233	714
WP_022552830.1	WP_020452589.1	0.645	381	135	0	1	381	1	381	1.0650000000000001e-163	511
WP_022552845.1	WP_035338198.1	0.665	494	164	0	1	494	1	490	6.743e-236	726
WP_022553050.1	WP_020451909.1	0.824	381	67	0	1	381	1	381	1.481e-216	664
WP_022553283.1	WP_025809953.1	0.579	168	70	0	1	168	1	168	1.137e-59	199
WP_025649280.1	WP_079289258.1	0.586	145	59	0	17	161	33	176	1.162e-55	187
WP_025649507.1	WP_023857285.1	0.484	190	97	0	1	190	1	189	1.272e-55	189
WP_031378424.1	WP_039072542.1	0.463	231	123	0	6	235	2	232	7.378e-61	206
WP_038458013.1	WP_020451392.1	0.531	252	117	0	1	251	4	255	3.775e-85	277
WP_209387541.1	WP_095292410.1	0.643	387	138	0	1	387	1	387	1.158e-174	543
WP_209387545.1	WP_020452787.1	0.683	158	50	0	1	158	1	158	1.197e-70	230
WP_209387549.1	WP_144498848.1	0.707	1494	437	0	1	1491	1	1494	0.0	2222
WP_209387578.1	WP_023856223.1	0.602	279	111	0	1	279	1	279	3.7780000000000004e-108	345
WP_209387607.1	WP_095292172.1	0.53	215	101	0	1	215	1	215	3.3730000000000004e-69	229
WP_209387611.1	WP_095292166.1	0.558	342	151	0	1	342	1	342	1.074e-127	405
WP_209387646.1	WP_026580179.1	0.726	252	69	0	1	252	1	252	1.2410000000000001e-124	391
WP_209387649.1	WP_095292153.1	0.693	444	136	0	1	444	1	443	3.172e-210	649
WP_209388150.1	WP_023856765.1	0.761	327	78	0	1	327	1	327	3.489e-166	516
WP_209388181.1	WP_095290371.1	0.609	284	111	0	1	284	1	284	7.193000000000001e-122	385
WP_209388182.1	WP_020451196.1	0.763	406	96	0	1	406	1	406	7.464e-216	663
WP_209388183.1	WP_020451200.1	0.836	147	24	0	1	147	1	147	1.486e-79	255
WP_209388225.1	WP_149169486.1	0.658	214	73	0	1	214	1	214	1.461e-95	305
WP_209388229.1	WP_463315684.1	0.774	1186	268	0	1	1186	1	1186	0.0	1827
WP_209388265.1	WP_023856988.1	0.679	434	139	0	11	443	2	435	4.73e-205	634
WP_003155023.1	WP_003180652.1	0.863	132	18	0	1	132	1	132	1.074e-75	243
WP_003155026.1	WP_023856663.1	0.672	55	18	0	1	55	1	55	2.852e-21	82
WP_003155289.1	WP_039072577.1	0.536	166	77	0	1	166	1	166	5.940000000000001e-57	191
WP_003155312.1	WP_011197692.1	0.944	163	9	0	1	163	1	163	1.712e-102	322
WP_003155332.1	WP_306453675.1	0.515	97	46	0	12	107	12	108	1.185e-30	112
WP_003155335.1	WP_023856510.1	0.734	79	21	0	1	79	1	79	9.774e-36	125
WP_003155346.1	WP_020450701.1	0.902	512	50	0	1	512	1	512	1.5e-323	980
WP_003155347.1	WP_023856497.1	0.793	218	45	0	1	218	1	218	3.73e-118	371
WP_003155362.1	WP_026580005.1	0.546	181	79	0	2	176	4	184	5.191e-56	189
WP_003155732.1	WP_026578928.1	0.906	96	9	0	1	96	1	96	3.046e-55	182
WP_014417273.1	WP_025811847.1	0.565	315	136	0	1	315	1	313	3.8170000000000004e-116	370
WP_014417285.1	WP_020450711.1	0.802	553	109	0	2	554	1	553	1.475e-309	942
WP_014417440.1	WP_003180714.1	0.447	85	46	0	1	84	1	85	6.557e-19	77
WP_014417497.1	WP_035337363.1	0.564	117	50	0	16	132	18	132	1.555e-39	139
WP_014417522.1	WP_023856714.1	0.447	96	51	0	5	100	8	101	1.559e-22	89
WP_014417713.1	WP_463315680.1	0.542	291	133	0	1	291	1	291	1.342e-99	321
WP_014417721.1	WP_231006039.1	0.902	381	37	0	1	381	1	377	2.0819999999999999e-218	669
WP_014417726.1	WP_020451322.1	0.786	150	32	0	3	152	29	178	1.304e-75	244
WP_014417729.1	WP_023857239.1	0.73	304	81	0	1	302	1	304	5.087e-143	447
WP_014417746.1	WP_023857226.1	0.899	358	36	0	6	363	4	361	2.9640000000000004e-222	679
WP_022554035.1	WP_020453621.1	0.953	430	20	0	1	430	1	430	7.203e-281	852
WP_025284926.1	WP_025811226.1	0.773	371	84	0	1	371	1	371	1.342e-191	591
WP_029972866.1	WP_020453252.1	0.919	436	35	0	1	436	1	436	9.131e-264	803
WP_029972881.1	WP_095292867.1	0.71	138	40	0	1	138	1	138	2.1690000000000001e-63	208
WP_029973917.1	WP_023855683.1	0.718	430	121	0	9	437	7	436	6.442000000000001e-209	645
WP_029974074.1	WP_020450319.1	0.661	210	71	0	1	210	1	209	2.425e-91	293
WP_209387389.1	WP_065643801.1	0.688	250	78	0	1	250	1	250	1.0979999999999999e-107	342
WP_209387391.1	WP_020451958.1	0.729	255	69	0	1	255	1	254	5.573e-127	398
WP_209387395.1	WP_105981049.1	0.481	348	180	0	1	348	1	348	8.637e-106	342
WP_209387418.1	WP_026579328.1	0.911	327	29	0	1	327	1	327	3.207e-203	622
WP_209387423.1	WP_031304732.1	0.781	416	91	0	11	426	1	416	2.1780000000000002e-222	683
WP_209387427.1	WP_020452151.1	0.783	318	68	0	1	318	1	316	1.413e-164	510
WP_209387461.1	WP_023855375.1	0.833	878	146	0	1	878	1	878	0.0	1525
WP_209387467.1	WP_003183984.1	0.727	66	18	0	1	66	1	66	2.062e-29	106
WP_209387992.1	WP_095292678.1	0.66	1969	668	0	1	1967	1	1969	0.0	2673
WP_209388037.1	WP_020450667.1	0.482	201	104	0	1	201	3	203	2.4239999999999998e-60	203
WP_209388078.1	WP_003180433.1	0.543	1130	516	0	1	1130	1	1130	0.0	1196
WP_209388102.1	WP_463315665.1	0.684	336	106	0	1	336	1	336	1.749e-153	479
WP_209388107.1	WP_003180726.1	0.671	140	45	0	1	140	1	139	7.063e-61	201
WP_209388166.1	WP_023856784.1	0.813	252	47	0	1	251	1	252	2.7900000000000003e-132	413
WP_003152856.1	WP_020452280.1	0.626	280	104	0	1	280	1	278	5.354e-113	359
WP_003152868.1	WP_026579270.1	0.82	189	34	0	1	189	1	189	1.6359999999999998e-107	338
WP_003152870.1	WP_003183686.1	0.756	41	10	0	1	41	1	41	1.135e-17	71
WP_003153100.1	WP_023855186.1	0.606	193	76	0	1	193	1	193	7.054e-77	250
WP_003153104.1	WP_023855185.1	0.927	111	8	0	1	111	1	111	5.181e-65	211
WP_003153114.1	WP_020452155.1	0.841	278	44	0	1	278	1	278	3.251e-161	498
WP_003153118.1	WP_020452153.1	0.738	291	76	0	1	291	1	291	7.347e-150	466
WP_003153142.1	WP_003183409.1	0.955	68	3	0	1	68	1	68	3.534e-40	137
WP_003153402.1	WP_035338506.1	0.642	182	65	0	2	183	5	186	1.58e-74	243
WP_003153415.1	WP_023857465.1	0.746	213	54	0	1	213	1	213	4.323e-111	350
WP_007612834.1	WP_026579146.1	0.685	781	246	0	1	781	1	781	0.0	1114
WP_007612940.1	WP_020452494.1	0.806	145	28	0	3	147	2	146	2.083e-76	246
WP_007613019.1	WP_003184266.1	0.957	119	5	0	1	119	1	119	3.819e-72	232
WP_007614670.1	WP_020452099.1	0.79	100	21	0	1	100	1	100	8.674e-48	161
WP_007614823.1	WP_020453447.1	0.844	257	40	0	1	257	1	257	3.5429999999999997e-141	439
WP_007614902.1	WP_020453591.1	0.919	509	41	0	1	509	1	509	5.645e-315	955
WP_012117221.1	WP_003180302.1	0.568	44	19	0	3	46	1	44	7.122e-16	66
WP_012117263.1	WP_003180528.1	0.871	163	21	0	1	163	1	163	1.2059999999999999e-89	285
WP_012117296.1	WP_023856672.1	0.609	205	79	0	1	205	1	203	1.384e-74	244
WP_014418422.1	WP_026579268.1	0.75	184	46	0	1	184	1	184	3.876e-88	282
WP_014418425.1	WP_003183713.1	0.847	46	7	0	1	46	1	46	3.994e-21	81
WP_014418447.1	WP_096748246.1	0.248	261	196	0	2	262	3	263	1.897e-27	110
WP_014418528.1	WP_023855393.1	0.66	99	32	0	1	99	1	95	1.6630000000000002e-35	126
WP_014418625.1	WP_023855494.1	0.54	100	46	0	1	100	1	100	6.993999999999999e-33	118
WP_014418654.1	WP_020452607.1	0.65	106	37	0	1	106	1	106	9.96e-49	164
WP_014418658.1	WP_003184462.1	0.792	106	22	0	1	106	1	106	3.85e-58	191
WP_014418673.1	WP_156125053.1	0.823	511	90	0	1	511	1	511	4.151e-293	892
WP_014418682.1	WP_023856971.1	0.55	238	106	0	1	237	1	238	6.443e-91	293
WP_014418851.1	WP_020453400.1	0.715	411	117	0	9	419	7	417	1.8599999999999998e-204	631
WP_022552673.1	WP_023855723.1	0.402	566	321	0	1	537	1	566	1.105e-126	412
WP_025649717.1	WP_020452557.1	0.85	154	23	0	1	154	1	154	8.438e-81	259
WP_025649797.1	WP_026579384.1	0.756	267	64	0	1	265	1	267	7.653000000000001e-128	401
WP_029973522.1	WP_025810719.1	0.74	212	55	0	5	216	2	213	5.733e-107	338
WP_032873890.1	WP_023855369.1	0.655	212	73	0	1	212	1	212	2.223e-90	290
WP_032875496.1	WP_020450267.1	0.257	166	121	0	9	174	13	176	6.219e-13	68
WP_032876720.1	WP_023856191.1	0.745	326	83	0	1	325	1	326	6.4859999999999995e-177	546
WP_209387428.1	WP_020452161.1	0.832	448	75	0	1	448	1	448	1.77e-253	774
WP_209387433.1	WP_023857118.1	0.623	433	162	0	1	433	1	432	7.346e-185	575
WP_209387436.1	WP_020452184.1	0.577	375	157	0	1	375	1	372	4.3580000000000003e-144	454
WP_209387492.1	WP_026579091.1	0.74	593	154	0	1	593	1	593	1.526e-292	895
WP_209387496.1	WP_020452548.1	0.654	197	68	0	1	197	1	197	6.0999999999999995e-80	259
WP_209387499.1	WP_020452585.1	0.751	266	65	0	1	266	1	264	9.128e-132	413
