ve_protein	pa_protein	ve_gene	ve_log2FC	pa_gene	pa_log2FC	response_class	ve_symbol	ve_product	pa_symbol	pa_product
WP_209387544.1	WP_080131483.1	gene-ACSAL1_RS14670	1.126779857365058	gene-ACZ0AN_RS16820	2.1376321481368232	conserved_up		Na+/H+ antiporter subunit A		Na+/H+ antiporter subunit A
WP_209387911.1	WP_026580583.1	gene-ACSAL1_RS02420	1.7301955847197297	gene-ACZ0AN_RS02755	-2.224249954055576	opposite		acyl-CoA dehydrogenase family protein		acyl-CoA dehydrogenase family protein
WP_209388358.1	WP_023855508.1	gene-ACSAL1_RS13725	-3.273996999785064	gene-ACZ0AN_RS15710	1.3500581237708933	opposite		acetoin utilization protein AcuC		acetoin utilization protein AcuC
WP_003151503.1	WP_020453050.1	gene-ACSAL1_RS16310	-2.9989415090396148	gene-ACZ0AN_RS18410	1.0186899730869814	opposite		beta-class carbonic anhydrase		beta-class carbonic anhydrase
WP_003154312.1	WP_271725184.1	gene-ACSAL1_RS08110	1.087580621675234	gene-ACZ0AN_RS08815	-1.8493920635257728	opposite	fabG	3-oxoacyl-[acyl-carrier-protein] reductase	fabG	3-oxoacyl-[acyl-carrier-protein] reductase
WP_003154690.1	WP_020451145.1	gene-ACSAL1_RS06925	-2.3997605810803044	gene-ACZ0AN_RS07580	3.2587748410728485	opposite	spo0E	aspartyl-phosphate phosphatase Spo0E		aspartyl-phosphate phosphatase Spo0E family protein
WP_007408296.1	WP_026579292.1	gene-ACSAL1_RS11920	2.0568155772288206	gene-ACZ0AN_RS13540	2.691811835945876	conserved_up		YitT family protein		YitT family protein
WP_007612510.1	WP_025811170.1	gene-ACSAL1_RS11560	1.0959818511907529	gene-ACZ0AN_RS13095	-1.650939700790506	opposite	accB	acetyl-CoA carboxylase biotin carboxyl carrier protein	accB	acetyl-CoA carboxylase biotin carboxyl carrier protein
WP_032863920.1	WP_224146418.1	gene-ACSAL1_RS14685	1.3007322633641176	gene-ACZ0AN_RS16835	1.9087232015654985	conserved_up		Na+/H+ antiporter subunit D		Na+/H+ antiporter subunit D
WP_209388240.1	WP_020451410.1	gene-ACSAL1_RS08370	4.747927561056087	gene-ACZ0AN_RS09070	1.0520172326355437	conserved_up		protein-glutamate methylesterase/protein-glutamine glutaminase		protein-glutamate methylesterase/protein-glutamine glutaminase
WP_209388310.1	WP_463315701.1	gene-ACSAL1_RS09490	-6.482509195309159	gene-ACZ0AN_RS10640	-5.94605678116537	conserved_down		non-ribosomal peptide synthetase		amino acid adenylation domain-containing protein
WP_110085500.1	WP_020451902.1	gene-ACSAL1_RS10315	2.359979697845892	gene-ACZ0AN_RS11750	1.061756507421873	conserved_up	pbuX	xanthine permease PbuX		nucleobase:cation symporter-2 family protein
WP_167408947.1	WP_463315688.1	gene-ACSAL1_RS13595	-3.621628308983184	gene-ACZ0AN_RS09690	-1.5516897432526406	conserved_down		SMI1/KNR4 family protein		SMI1/KNR4 family protein
WP_209388201.1	WP_003181456.1	gene-ACSAL1_RS07560	1.5856003151824465	gene-ACZ0AN_RS08240	-1.493935486351327	opposite		YlaI family protein		YlaI family protein
WP_003156640.1	WP_020452159.1	gene-ACSAL1_RS01570	2.7062858342601133	gene-ACZ0AN_RS13205	2.3500364321204543	conserved_up	opuAA	glycine/proline betaine ABC transporter ATP-binding protein OpuAA	opuAA	glycine/proline betaine ABC transporter ATP-binding protein OpuAA
WP_007409427.1	WP_023857489.1	gene-ACSAL1_RS10875	2.066445668522116	gene-ACZ0AN_RS12355	1.7905473276227826	conserved_up		segregation/condensation protein A		segregation/condensation protein A
WP_007410056.1	WP_023856236.1	gene-ACSAL1_RS15455	-3.7993316724998905	gene-ACZ0AN_RS17555	-1.2411519343862296	conserved_down		protein liaI		protein liaI
WP_154817944.1	WP_249726582.1	gene-ACSAL1_RS15635	1.4893961096657558	gene-ACZ0AN_RS06815	-2.282602433784756	opposite		assimilatory sulfite reductase (NADPH) flavoprotein subunit		assimilatory sulfite reductase (NADPH) flavoprotein subunit
WP_209387679.1	WP_026579237.1	gene-ACSAL1_RS17410	1.4849867843889553	gene-ACZ0AN_RS14050	1.5192416637782065	conserved_up		UPF0715 family protein		UPF0715 family protein
WP_481748173.1	WP_105981050.1	gene-ACSAL1_RS10810	-5.216732604908226	gene-ACZ0AN_RS12265	-2.176400527806829	conserved_down		sugar dehydratase		GerMN domain-containing protein
WP_003154237.1	WP_079289134.1	gene-ACSAL1_RS08330	1.228705730217023	gene-ACZ0AN_RS09030	2.18840402564041	conserved_up	fliZ	flagella biosynthesis regulatory protein FliZ	fliZ	flagella biosynthesis regulatory protein FliZ
WP_003154243.1	WP_101560838.1	gene-ACSAL1_RS08305	3.055942614352287	gene-ACZ0AN_RS09005	2.16190947115054	conserved_up	swrD	swarming motility protein SwrD	swrD	swarming motility protein SwrD
WP_003154259.1	WP_025811385.1	gene-ACSAL1_RS08250	1.9628184827220576	gene-ACZ0AN_RS08950	3.8245743595860016	conserved_up	flgC	flagellar basal body rod protein FlgC	flgC	flagellar basal body rod protein FlgC
WP_007407470.1	WP_025810706.1	gene-ACSAL1_RS16590	-2.3203582946019963	gene-ACZ0AN_RS18680	3.064638559250787	opposite	hpf	ribosome hibernation-promoting factor%2C HPF/YfiA family	hpf	ribosome hibernation-promoting factor%2C HPF/YfiA family
WP_007408329.1	WP_020452167.1	gene-ACSAL1_RS11690	-11.145716030371412	gene-ACZ0AN_RS13245	-7.891609756638836	conserved_down	tasA	biofilm matrix protein TasA	tasA	biofilm matrix protein TasA
WP_017419162.1	WP_059231341.1	gene-ACSAL1_RS03070	1.1450079842898782	gene-ACZ0AN_RS14845	-1.3067815561024736	opposite		SRPBCC family protein		SRPBCC family protein
WP_021494173.1	WP_075213795.1	gene-ACSAL1_RS09590	6.6109245653865	gene-ACZ0AN_RS10685	4.030802150286297	conserved_up	proC	pyrroline-5-carboxylate reductase	proC	pyrroline-5-carboxylate reductase
WP_077721760.1	WP_020452157.1	gene-ACSAL1_RS01580	1.8800441985345884	gene-ACZ0AN_RS13195	1.3902682595375233	conserved_up		glycine betaine ABC transporter substrate-binding protein		glycine betaine ABC transporter substrate-binding protein
WP_209388263.1	WP_020452348.1	gene-ACSAL1_RS08895	-1.2524950976342657	gene-ACZ0AN_RS14285	-1.08045050474436	conserved_down	xynB	xylan 1%2C4-beta-xylosidase	xynB	xylan 1%2C4-beta-xylosidase
WP_014419260.1	WP_257475246.1	gene-ACSAL1_RS18510	-6.240983486470718	gene-ACZ0AN_RS15400	5.335243977900378	opposite		polysaccharide lyase family 1 protein		pectate lyase family protein
WP_029972872.1	WP_128822195.1	gene-ACSAL1_RS17530	2.812218569607233	gene-ACZ0AN_RS20370	-1.795460543469901	opposite		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein
WP_209387507.1	WP_020452601.1	gene-ACSAL1_RS13720	-2.9707321629145964	gene-ACZ0AN_RS15705	1.6448229125444818	opposite		acetoin utilization AcuB family protein		acetoin utilization AcuB family protein
WP_209388237.1	WP_020451396.1	gene-ACSAL1_RS08290	4.075032889030868	gene-ACZ0AN_RS08990	2.8385944950647946	conserved_up		flagellar hook-length control protein FliK		flagellar hook-length control protein FliK
WP_003154494.1	WP_003181465.1	gene-ACSAL1_RS07585	-1.5359154723180035	gene-ACZ0AN_RS08265	2.530751783860001	opposite		Fpa/YlaN family protein		Fpa/YlaN family protein
WP_007408822.1	WP_075212784.1	gene-ACSAL1_RS14030	2.0635689781125235	gene-ACZ0AN_RS16045	1.4062881097759754	conserved_up	mnmL	tRNA modification radical SAM protein MnmL/YtqA	mnmL	tRNA modification radical SAM protein MnmL/YtqA
WP_007408836.1	WP_020452680.1	gene-ACSAL1_RS14125	-2.3175374697918647	gene-ACZ0AN_RS16150	1.1396511708229558	opposite	ytzI	YtzI protein	ytzI	YtzI protein
WP_017417943.1	WP_149169593.1	gene-ACSAL1_RS09585	5.651574961305816	gene-ACZ0AN_RS10680	4.669124185727576	conserved_up	proB	glutamate 5-kinase	proB	glutamate 5-kinase
WP_022552595.1	WP_026580558.1	gene-ACSAL1_RS02080	-2.613365052834894	gene-ACZ0AN_RS02450	-1.1412646109687523	conserved_down		YcnI family copper-binding membrane protein		YcnI family copper-binding membrane protein
WP_209387613.1	WP_020453028.1	gene-ACSAL1_RS16125	-5.160458131216826	gene-ACZ0AN_RS18280	-6.420474377033791	conserved_down	epsE	glycosyltransferase EpsE		glycosyltransferase family 2 protein
WP_209387667.1	WP_095292203.1	gene-ACSAL1_RS17035	-1.7654474575762205	gene-ACZ0AN_RS18005	-1.1489838384540092	conserved_down		T7SS effector LXG polymorphic toxin		ribonuclease YeeF family protein
WP_209388138.1	WP_249726576.1	gene-ACSAL1_RS06370	6.143813365238279	gene-ACZ0AN_RS06895	1.2365303135077437	conserved_up		phage portal protein		phage portal protein
WP_003156639.1	WP_020452158.1	gene-ACSAL1_RS01575	2.488416056033597	gene-ACZ0AN_RS13200	2.383794255565834	conserved_up	opuAB	glycine/proline betaine ABC transporter permease subunit OpuAB		ABC transporter permease
WP_014417341.1	WP_023856566.1	gene-ACSAL1_RS05225	-1.5868136767450012	gene-ACZ0AN_RS05695	-1.1397539687681253	conserved_down	hemY	protoporphyrinogen oxidase	hemY	protoporphyrinogen oxidase
WP_022553605.1	WP_103749065.1	gene-ACSAL1_RS05025	-1.011685951071803	gene-ACZ0AN_RS05505	-2.313746019608196	conserved_down		YheC/YheD family endospore coat-associated protein		YheC/YheD family endospore coat-associated protein
WP_022553706.1	WP_020452785.1	gene-ACSAL1_RS14680	1.4637724241629897	gene-ACZ0AN_RS16830	2.082874836018976	conserved_up		Na(+)/H(+) antiporter subunit C		Na(+)/H(+) antiporter subunit C
WP_104843205.1	WP_020450688.1	gene-ACSAL1_RS04730	-2.758061894974675	gene-ACZ0AN_RS05090	1.957381722390279	opposite		hypothetical protein		hypothetical protein
WP_021494112.1	WP_145645272.1	gene-ACSAL1_RS15545	1.250527747499146	gene-ACZ0AN_RS13350	-2.4717615604789205	opposite		iron-hydroxamate ABC transporter substrate-binding protein		iron-hydroxamate ABC transporter substrate-binding protein
WP_021495223.1	WP_020453012.1	gene-ACSAL1_RS16035	2.001584427761545	gene-ACZ0AN_RS18195	2.930528987588032	conserved_up		LutC/YkgG family protein		LutC/YkgG family protein
WP_159353720.1	WP_039072751.1	gene-ACSAL1_RS01150	-1.216529476565915	gene-ACZ0AN_RS10455	-1.5264984191872444	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein
WP_209387770.1	WP_020451188.1	gene-ACSAL1_RS18850	1.4661509810766142	gene-ACZ0AN_RS07830	-1.776085064072524	opposite		RDD family protein		RDD family protein
WP_003152056.1	WP_023856153.1	gene-ACSAL1_RS14700	2.040517932540208	gene-ACZ0AN_RS16850	1.5971631967375328	conserved_up	mnhG	monovalent cation/H(+) antiporter subunit G	mnhG	monovalent cation/H(+) antiporter subunit G
WP_003155777.1	WP_020450431.1	gene-ACSAL1_RS03370	-2.8572146915143524	gene-ACZ0AN_RS03595	-5.242249910141628	conserved_down		Fur-regulated basic protein FbpA		hypothetical protein
WP_007610368.1	WP_020450770.1	gene-ACSAL1_RS05015	-3.115134870592171	gene-ACZ0AN_RS05480	-1.0180402323083362	conserved_down		alpha/beta-type small acid-soluble spore protein		alpha/beta-type small acid-soluble spore protein
WP_007613482.1	WP_025809768.1	gene-ACSAL1_RS14880	4.0451280043721525	gene-ACZ0AN_RS17015	2.463485757789753	conserved_up		Na+/H+ antiporter NhaC family protein		Na+/H+ antiporter family protein
WP_007613715.1	WP_043054605.1	gene-ACSAL1_RS15530	1.4955969217899057	gene-ACZ0AN_RS17675	-1.8904054174507483	opposite		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein
WP_209387345.1	WP_023857357.1	gene-ACSAL1_RS09835	2.46989137940372	gene-ACZ0AN_RS11315	1.8831739039455029	conserved_up		AAA family ATPase		ATP-binding protein
WP_209387903.1	WP_095291242.1	gene-ACSAL1_RS02245	2.4831709107362503	gene-ACZ0AN_RS21000	-2.445553852128872	opposite		DUF2334 domain-containing protein		DUF2334 domain-containing protein
WP_003155217.1	WP_463315658.1	gene-ACSAL1_RS05240	-1.2965613643898437	gene-ACZ0AN_RS05710	-4.368438428530614	conserved_down	fabHB	beta-ketoacyl-ACP synthase III FabHB		beta-ketoacyl-ACP synthase 3
WP_014417317.1	WP_020450775.1	gene-ACSAL1_RS05030	-1.358937095658802	gene-ACZ0AN_RS05510	-2.505065121604656	conserved_down		YheC/YheD family endospore coat-associated protein		YheC/YheD family endospore coat-associated protein
WP_014417632.1	WP_020451234.1	gene-ACSAL1_RS07345	1.36134188416796	gene-ACZ0AN_RS08080	1.06843973217403	conserved_up	mreBH	cell shape-determining protein MreBH	mreBH	rod-share determining protein MreBH
WP_061862346.1	WP_101561047.1	gene-ACSAL1_RS10885	1.5375134319090966	gene-ACZ0AN_RS12365	2.8098513914701604	conserved_up		DUF309 domain-containing protein		DUF309 domain-containing protein
WP_209387437.1	WP_025811788.1	gene-ACSAL1_RS11815	2.5663934508619137	gene-ACZ0AN_RS05425	3.607973905812304	conserved_up	nhaC	Na+/H+ antiporter NhaC	nhaC	Na+/H+ antiporter NhaC
WP_209387533.1	WP_245117755.1	gene-ACSAL1_RS14380	9.031164912910793	gene-ACZ0AN_RS16460	1.6817709586311131	conserved_up	betB	betaine-aldehyde dehydrogenase	betB	betaine-aldehyde dehydrogenase
WP_209387587.1	WP_035337713.1	gene-ACSAL1_RS15770	1.9849333824227184	gene-ACZ0AN_RS18035	3.3668972460128943	conserved_up		alpha/beta hydrolase		alpha/beta hydrolase
WP_209388180.1	WP_095290367.1	gene-ACSAL1_RS07115	-1.371126921660074	gene-ACZ0AN_RS07810	-1.611368312629892	conserved_down		peptidoglycan D%2CD-transpeptidase FtsI family protein		peptidoglycan D%2CD-transpeptidase FtsI family protein
WP_209388204.1	WP_023857262.1	gene-ACSAL1_RS07640	2.086877056381955	gene-ACZ0AN_RS08320	1.6330793804336052	conserved_up		CBS domain-containing protein		CBS domain-containing protein
WP_007407578.1	WP_145654112.1	gene-ACSAL1_RS17230	-4.6499084786959255	gene-ACZ0AN_RS02960	-4.830026554918872	conserved_down	xynA	endo-1%2C4-beta-xylanase XynA		glycoside hydrolase family 11 protein
WP_007407590.1	WP_023857087.1	gene-ACSAL1_RS17290	1.7435976681277294	gene-ACZ0AN_RS19480	2.623237373854236	conserved_up		VWA domain-containing protein		VWA domain-containing protein
WP_014305920.1	WP_003185659.1	gene-ACSAL1_RS16545	5.571561228131301	gene-ACZ0AN_RS18630	4.058028702998095	conserved_up	swrA	swarming motility protein SwrAA	swrA	swarming motility protein SwrAA
WP_209387448.1	WP_020452283.1	gene-ACSAL1_RS12230	1.845316866403148	gene-ACZ0AN_RS13915	4.612007951775259	conserved_up		SGNH/GDSL hydrolase family protein		SGNH/GDSL hydrolase family protein
WP_209387469.1	WP_026579141.1	gene-ACSAL1_RS12710	-8.993120230055487	gene-ACZ0AN_RS14770	-1.5809922094879618	conserved_down	safA	SafA/ExsA family spore coat assembly protein	safA	SafA/ExsA family spore coat assembly protein
WP_209387803.1	WP_023855350.1	gene-ACSAL1_RS19365	1.0144065582105024	gene-ACZ0AN_RS14355	1.3852819131879075	conserved_up		methylated-DNA--[protein]-cysteine S-methyltransferase		methylated-DNA--[protein]-cysteine S-methyltransferase
WP_209388044.1	WP_463315650.1	gene-ACSAL1_RS04750	-3.67331722753992	gene-ACZ0AN_RS05120	-1.6420688221748097	conserved_down		bifunctional metallophosphatase/5'-nucleotidase		5'-nucleotidase C-terminal domain-containing protein
WP_007614107.1	WP_023856394.1	gene-ACSAL1_RS16690	1.8772600255633831	gene-ACZ0AN_RS18790	2.5263250614425323	conserved_up		YigZ family protein		YigZ family protein
WP_209387442.1	WP_105981085.1	gene-ACSAL1_RS11990	-1.2476685128319194	gene-ACZ0AN_RS13660	-1.1182013854457922	conserved_down	glyS	glycine--tRNA ligase subunit beta	glyS	glycine--tRNA ligase subunit beta
WP_003154001.1	WP_020451592.1	gene-ACSAL1_RS09105	1.74226739775494	gene-ACZ0AN_RS10055	1.1613215492921938	conserved_up	yneA	cell division suppressor protein YneA	yneA	cell division suppressor protein YneA
WP_003154260.1	WP_020451387.1	gene-ACSAL1_RS08245	2.3792075422791297	gene-ACZ0AN_RS08945	4.17008925642035	conserved_up	flgB	flagellar basal body rod protein FlgB	flgB	flagellar basal body rod protein FlgB
WP_007408114.1	WP_020452506.1	gene-ACSAL1_RS13105	1.380487117876421	gene-ACZ0AN_RS15180	2.423731127703502	conserved_up	zapA	cell division protein ZapA	zapA	cell division protein ZapA
WP_014418340.1	WP_020452121.1	gene-ACSAL1_RS11410	-1.512319197505031	gene-ACZ0AN_RS13000	1.9124220025753167	opposite		DUF2627 domain-containing protein		DUF2627 domain-containing protein
WP_022552527.1	WP_020449985.1	gene-ACSAL1_RS01380	-1.7554283572510758	gene-ACZ0AN_RS01435	1.540454334699312	opposite		alanine/glycine:cation symporter family protein		alanine/glycine:cation symporter family protein
WP_012118061.1	WP_011198155.1	gene-ACSAL1_RS12420	1.846894542775255	gene-ACZ0AN_RS14470	-2.606860228024814	opposite		YrhC family protein		YrhC family protein
WP_012118921.1	WP_025810048.1	gene-ACSAL1_RS19265	1.83723321653803	gene-ACZ0AN_RS03025	1.6146880487088442	conserved_up		YitT family protein		YitT family protein
WP_209388328.1	WP_023857755.1	gene-ACSAL1_RS06135	-2.503784716797393	gene-ACZ0AN_RS01470	-1.9860016630405093	conserved_down	bla	class A beta-lactamase	blaP	class A beta-lactamase BlaP
WP_209388334.1	WP_020451243.1	gene-ACSAL1_RS07400	2.5467520167880666	gene-ACZ0AN_RS08130	2.8831716348867027	conserved_up		YkyA family protein		YkyA family protein
WP_014417762.1	WP_020451377.1	gene-ACSAL1_RS08195	6.337370453990021	gene-ACZ0AN_RS08895	-1.0454220067336564	opposite		FlhB-like flagellar biosynthesis protein		FlhB-like flagellar biosynthesis protein
WP_014418377.1	WP_145645269.1	gene-ACSAL1_RS11740	2.714214466020032	gene-ACZ0AN_RS13295	6.946677963347863	conserved_up	comGB	competence type IV pilus assembly protein ComGB	comGB	competence type IV pilus assembly protein ComGB
WP_015418210.1	WP_025810626.1	gene-ACSAL1_RS15650	-11.014079586223318	gene-ACZ0AN_RS19790	-6.831272881016061	conserved_down		zinc-dependent metalloprotease		zinc-dependent metalloprotease
WP_209387473.1	WP_059231343.1	gene-ACSAL1_RS12780	1.9894286712623857	gene-ACZ0AN_RS14840	-1.00845801389165	opposite		M23 family metallopeptidase		peptidoglycan DD-metalloendopeptidase family protein
WP_209387844.1	WP_023855832.1	gene-ACSAL1_RS01360	-6.226914219005029	gene-ACZ0AN_RS16055	-1.3796673265107144	conserved_down	gltP	glutamate-aspartate/proton symporter GltP	gltP	glutamate-aspartate/proton symporter GltP
WP_003154234.1	WP_020451404.1	gene-ACSAL1_RS08340	4.272276822287616	gene-ACZ0AN_RS09040	2.4864931620511546	conserved_up	fliQ	flagellar biosynthesis protein FliQ	fliQ	flagellar biosynthesis protein FliQ
WP_003154240.1	WP_020451400.1	gene-ACSAL1_RS08315	1.775271066135622	gene-ACZ0AN_RS09015	2.2182027432715383	conserved_up	fliM	flagellar motor switch protein FliM	fliM	flagellar motor switch protein FliM
WP_007408335.1	WP_043054396.1	gene-ACSAL1_RS11650	1.451853578124196	gene-ACZ0AN_RS13190	1.5369147036659538	conserved_up		rhodanese-like domain-containing protein		rhodanese-like domain-containing protein
WP_014417223.1	WP_103750481.1	gene-ACSAL1_RS04205	-2.351176894968716	gene-ACZ0AN_RS04530	-1.960722204557238	conserved_down	catE	catechol 2%2C3-dioxygenase		VOC family protein
WP_014417374.1	WP_020450876.1	gene-ACSAL1_RS05500	-1.1350329350387869	gene-ACZ0AN_RS06075	-1.7283821844837082	conserved_down		aspartyl-phosphate phosphatase Spo0E family protein		aspartyl-phosphate phosphatase Spo0E family protein
WP_021495090.1	WP_023855267.1	gene-ACSAL1_RS02315	-3.988787787314784	gene-ACZ0AN_RS13950	-5.02747835785178	conserved_down		hypothetical protein		hypothetical protein
WP_061861565.1	WP_035337756.1	gene-ACSAL1_RS16325	-2.438810329297975	gene-ACZ0AN_RS18440	-2.5037519348861097	conserved_down		arylamine N-acetyltransferase family protein		arylamine N-acetyltransferase
WP_003152043.1	WP_003184860.1	gene-ACSAL1_RS14730	-2.9528843886866127	gene-ACZ0AN_RS16880	-2.062803349048908	conserved_down	degQ	degradation enzyme regulation protein DegQ	degQ	degradation enzyme regulation protein DegQ
WP_003153079.1	WP_003183482.1	gene-ACSAL1_RS11770	-1.5866479266552576	gene-ACZ0AN_RS13315	8.443935586695828	opposite		Spx/MgsR family RNA polymerase-binding regulatory protein		Spx/MgsR family RNA polymerase-binding regulatory protein
WP_003155032.1	WP_003180627.1	gene-ACSAL1_RS05830	-1.48070761962927	gene-ACZ0AN_RS06490	2.3287867045475985	opposite	mecA	adaptor protein MecA	mecA	adaptor protein MecA
WP_007410404.1	WP_020449864.1	gene-ACSAL1_RS00780	-1.4205370482935316	gene-ACZ0AN_RS00790	-1.0528012492514374	conserved_down	rplN	50S ribosomal protein L14	rplN	50S ribosomal protein L14
WP_014418802.1	WP_020452851.1	gene-ACSAL1_RS15075	1.1063358123553917	gene-ACZ0AN_RS17230	1.8330518919800551	conserved_up		DUF72 domain-containing protein		DUF72 domain-containing protein
WP_209387320.1	WP_463315703.1	gene-ACSAL1_RS09500	-6.189223140113429	gene-ACZ0AN_RS10650	-6.349762743757935	conserved_down		non-ribosomal peptide synthetase		amino acid adenylation domain-containing protein
WP_209388095.1	WP_463315661.1	gene-ACSAL1_RS05750	-3.2319212688384127	gene-ACZ0AN_RS06405	-2.006509938426184	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein
WP_014417776.1	WP_023857204.1	gene-ACSAL1_RS08350	4.216521341479544	gene-ACZ0AN_RS09050	1.854858466088772	conserved_up	flhB	flagellar biosynthesis protein FlhB	flhB	flagellar biosynthesis protein FlhB
WP_209387802.1	WP_023856701.1	gene-ACSAL1_RS19350	-3.1497592516775472	gene-ACZ0AN_RS06835	-1.6044438092341922	conserved_down		VOC family protein		VOC family protein
WP_209388152.1	WP_003180955.1	gene-ACSAL1_RS06635	-7.206458364625488	gene-ACZ0AN_RS07275	-1.6569289285964044	conserved_down		mandelate racemase/muconate lactonizing enzyme family protein		mandelate racemase/muconate lactonizing enzyme family protein
WP_007410230.1	WP_164468292.1	gene-ACSAL1_RS02480	1.1037986106559712	gene-ACZ0AN_RS02810	-1.3311185939424754	opposite		LolA family protein		LolA family protein
WP_007610590.1	WP_035339430.1	gene-ACSAL1_RS05755	-4.793345432953291	gene-ACZ0AN_RS06410	-2.116962588425447	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein
WP_014418250.1	WP_026579386.1	gene-ACSAL1_RS10570	1.2038766514439316	gene-ACZ0AN_RS12010	1.0818059581614043	conserved_up		tetratricopeptide repeat protein		tetratricopeptide repeat protein
WP_014419005.1	WP_020453106.1	gene-ACSAL1_RS16615	3.312279031044928	gene-ACZ0AN_RS18715	-2.047227156495792	opposite		flagellin N-terminal helical domain-containing protein	hag	flagellin Hag
WP_021495204.1	WP_128823493.1	gene-ACSAL1_RS03220	-2.322320349915837	gene-ACZ0AN_RS03350	-3.1342363408400256	conserved_down		PspA/IM30 family protein		PspA/IM30 family protein
WP_022553228.1	WP_020451809.1	gene-ACSAL1_RS09785	-1.04841924228341	gene-ACZ0AN_RS11250	1.7805460226527714	opposite		DUF6501 family protein		DUF6501 family protein
WP_025649399.1	WP_020450006.1	gene-ACSAL1_RS17850	-2.098315925124401	gene-ACZ0AN_RS01545	-2.127580401155758	conserved_down		ABC transporter ATP-binding protein		ABC transporter ATP-binding protein
WP_029972995.1	WP_026580420.1	gene-ACSAL1_RS18835	-1.5809562554891476	gene-ACZ0AN_RS01000	1.3329910502058508	opposite		DUF5391 family protein		DUF5391 family protein
WP_209387647.1	WP_035337789.1	gene-ACSAL1_RS16715	2.6740028291465605	gene-ACZ0AN_RS18820	-1.537274038259388	opposite	tuaF	teichuronic acid biosynthesis protein TuaF	tuaF	teichuronic acid biosynthesis protein TuaF
WP_003151173.1	WP_020453255.1	gene-ACSAL1_RS17325	-2.0263806384706347	gene-ACZ0AN_RS19510	-3.0600091153813995	conserved_down	atpD	F0F1 ATP synthase subunit beta	atpD	F0F1 ATP synthase subunit beta
WP_202729492.1	WP_095289976.1	gene-ACSAL1_RS05505	-1.986183835304019	gene-ACZ0AN_RS06090	-1.8899253144776464	conserved_down		fumarylacetoacetate hydrolase family protein		fumarylacetoacetate hydrolase family protein
WP_209388036.1	WP_023856470.1	gene-ACSAL1_RS04595	6.002845814897035	gene-ACZ0AN_RS04960	1.4812951197635589	conserved_up	rpsN	30S ribosomal protein S14	rpsN	30S ribosomal protein S14
WP_014469850.1	WP_370510518.1	gene-ACSAL1_RS03375	-1.9532679498473229	gene-ACZ0AN_RS03600	2.149252787360799	opposite		DUF2179 domain-containing protein		DUF2179 domain-containing protein
WP_209387873.1	WP_003178866.1	gene-ACSAL1_RS01820	1.775706955335577	gene-ACZ0AN_RS02135	-3.700070754023856	opposite	tcyC	cystine ABC transporter ATP-binding protein TcyC		amino acid ABC transporter ATP-binding protein
WP_003154622.1	WP_020451191.1	gene-ACSAL1_RS07140	2.297764119328831	gene-ACZ0AN_RS07845	2.144250704278043	conserved_up		YkyB family protein		YkyB family protein
WP_007409783.1	WP_035338767.1	gene-ACSAL1_RS08300	2.486360653411608	gene-ACZ0AN_RS09000	1.5636326585770095	conserved_up	flgG	flagellar basal body rod protein FlgG	flgG	flagellar basal body rod protein FlgG
WP_007410085.1	WP_020452875.1	gene-ACSAL1_RS15260	-2.182925013662896	gene-ACZ0AN_RS17360	-1.0522602511216932	conserved_down		SCP2 sterol-binding domain-containing protein		SCP2 sterol-binding domain-containing protein
WP_014419228.1	WP_095291253.1	gene-ACSAL1_RS18305	-1.3108942523250051	gene-ACZ0AN_RS20925	2.938786486055298	opposite		choloylglycine hydrolase family protein		choloylglycine hydrolase family protein
WP_021495283.1	WP_023855223.1	gene-ACSAL1_RS01520	2.199679859629698	gene-ACZ0AN_RS13535	2.18935534696902	conserved_up		metal ABC transporter ATP-binding protein		metal ABC transporter ATP-binding protein
WP_007409122.1	WP_003180588.1	gene-ACSAL1_RS05735	2.206260333439909	gene-ACZ0AN_RS06385	-2.432494628538149	opposite		beta-ketoacyl-ACP synthase III		beta-ketoacyl-ACP synthase III
WP_014418166.1	WP_020451893.1	gene-ACSAL1_RS10235	1.8512568977719857	gene-ACZ0AN_RS11690	1.2296057200241162	conserved_up		ribonuclease H family protein		reverse transcriptase-like protein
WP_209387484.1	WP_023855455.1	gene-ACSAL1_RS13100	1.9498626415611708	gene-ACZ0AN_RS15175	2.596368165318119	conserved_up		CvpA family protein		CvpA family protein
WP_209387580.1	WP_065643738.1	gene-ACSAL1_RS15570	1.6156225148072505	gene-ACZ0AN_RS17705	2.0899830690234773	conserved_up		LTA synthase family protein		LTA synthase family protein
WP_209387612.1	WP_249726811.1	gene-ACSAL1_RS16120	-5.247347115945321	gene-ACZ0AN_RS18275	-6.471095816487367	conserved_down		glycosyltransferase family 1 protein		glycosyltransferase family 1 protein
WP_014418595.1	WP_106070691.1	gene-ACSAL1_RS13170	-3.0662253823892667	gene-ACZ0AN_RS15260	-1.1466878572919523	conserved_down	araN	arabinooligosaccharides ABC transporter substrate-binding protein AraN		ABC transporter substrate-binding protein
